subject	AcqGroup
sub-19981	1
sub-20151	1
sub-20940	1
sub-80557	1
sub-80688	1
sub-86972	1
sub-88760	1
sub-88770	1
sub-90077	1
sub-97485	1
sub-97994	1
sub-98535	1
sub-98567	1
sub-104235	1
sub-106246	1
sub-112694	1
sub-114935	1
sub-115800	1
sub-122522	1
sub-131867	1
sub-20153	2
sub-20326	2
sub-20461	2
sub-20589	2
sub-21016	2
sub-21056	2
sub-85743	2
sub-87445	2
sub-87563	2
sub-87601	2
sub-94276	2
sub-96659	2
sub-106331	2
sub-114709	2
sub-116354	2
sub-126554	2
sub-129552	2
sub-129720	2
sub-20949	3
sub-84688	3
sub-85083	3
sub-86722	3
sub-88589	3
sub-92089	3
sub-93549	3
sub-102041	3
sub-105767	3
sub-108202	3
sub-117397	3
sub-125511	3
sub-131224	3
sub-132657	3
sub-20649	4
sub-20963	4
sub-83835	4
sub-92211	4
sub-93517	4
sub-97092	4
sub-97271	4
sub-98422	4
sub-99604	4
sub-112249	4
sub-121001	4
sub-127008	4
sub-127236	4
sub-20320	5
sub-20327	5
sub-20941	5
sub-20974	5
sub-20981	5
sub-21059	5
sub-86486	5
sub-95116	5
sub-98871	5
sub-109521	5
sub-121050	5
sub-126921	5
sub-127611	5
sub-20362	6
sub-88402	6
sub-92182	6
sub-95057	6
sub-99949	6
sub-105168	6
sub-106039	6
sub-110354	6
sub-120217	6
sub-126176	6
sub-127417	6
sub-128154	6
sub-132179	6
sub-82492	7
sub-83010	7
sub-84103	7
sub-84973	7
sub-86444	7
sub-87135	7
sub-87804	7
sub-98394	7
sub-98831	7
sub-119302	7
sub-121085	7
sub-122916	7
sub-85853	8
sub-87990	8
sub-88209	8
sub-99964	8
sub-103679	8
sub-114990	8
sub-116019	8
sub-116051	8
sub-125554	8
sub-129926	8
sub-130211	8
sub-20189	9
sub-20247	9
sub-21085	9
sub-87646	9
sub-89377	9
sub-95460	9
sub-106880	9
sub-112332	9
sub-20011	10
sub-20313	10
sub-20387	10
sub-89279	10
sub-92927	10
sub-93723	10
sub-105860	10
sub-129886	10
sub-82790	11
sub-86350	11
sub-86924	11
sub-93169	11
sub-105979	11
sub-112126	11
sub-114713	11
sub-139272	11
sub-83454	12
sub-90262	12
sub-90281	12
sub-92554	12
sub-93787	12
sub-132224	12
sub-99352	13
sub-110828	13
sub-118864	13
sub-128061	13
sub-129405	13
sub-81760	14
sub-88608	14
sub-93051	14
sub-93278	14
sub-91919	15
sub-93292	15
sub-94848	15
sub-98314	15
sub-81725	16
sub-105176	16
sub-112028	16
sub-126389	16
sub-104785	17
sub-106802	17
sub-109735	17
sub-19977	18
sub-20322	18
sub-133220	18
sub-125535	19
sub-127305	19
sub-83999	20
sub-87538	20
sub-119791	21
sub-126903	21
sub-92193	22
sub-109646	22
sub-87346	23
sub-114723	23
sub-20325	24
sub-95015	24
sub-20809	25
sub-93274	25
sub-86287	26
sub-113111	26
sub-82063	27
sub-87457	27
sub-129354	28
sub-130121	29
sub-130759	30
sub-130687	31
sub-130896	32
sub-106071	33
sub-122801	34
sub-127542	35
sub-116210	36
sub-116360	37
sub-118393	38
sub-117226	39
sub-121476	40
sub-122528	41
sub-88773	42
sub-90021	43
sub-90060	44
sub-90683	45
sub-91962	46
sub-91717	47
sub-93734	48
sub-93406	49
sub-104059	50
sub-95257	51
sub-93856	52
sub-94492	53
sub-112061	54
sub-110168	55
sub-107055	56
sub-105309	57
sub-121670	58
sub-118990	59
sub-120562	60
sub-121407	61
sub-85173	62
sub-85369	63
sub-84354	64
sub-84761	65
sub-82051	66
sub-83372	67
sub-20888	68
sub-20699	69
sub-20386	70
sub-20197	71
sub-20120	72
sub-20017	73
