Notes	ManualCheck	MergeInto	RenameEntitySet	KeyParamGroup	EntitySet	ParamGroup	Cluster_EchoTime	Cluster_EffectiveEchoSpacing	Cluster_RepetitionTime	Cluster_TotalReadoutTime	Cluster_VoxelSizeDim1	Cluster_VoxelSizeDim2	Cluster_VoxelSizeDim3	Counts	Dim1Size	Dim2Size	Dim3Size	EchoTime	EffectiveEchoSpacing	EntitySetCount	FlipAngle	HasFieldmap	ImageOrientation	Modality	MultibandAccelerationFactor	NSliceTimes	NumVolumes	Obliquity	ParallelReductionFactorInPlane	PartialFourier	PhaseEncodingDirection	RepetitionTime	TotalReadoutTime	UsedAsFieldmap	VoxelSizeDim1	VoxelSizeDim2	VoxelSizeDim3
				datatype-anat_suffix-T1w__1	datatype-anat_suffix-T1w	1	0.0		0.0		0.0	0.0	0.0	230	192	256	160	0.00345		230	9	False	RAS+	anat		0	1	False	2.0	1.0		1.81		False	0.9375	0.9375	1.0
				datatype-anat_suffix-T2w__1	datatype-anat_suffix-T2w	1	0.0		0.0		0.0	0.0	0.0	229	176	256	256	0.408		229	120	False	RAS+	anat		0	1	False	2.0	1.0	i	3.2		False	1.0	0.9765629768371582	0.9765629768371582
				datatype-anat_suffix-angio__1	datatype-anat_suffix-angio	1	0.0		0.0		0.0	0.0	0.0	153	288	384	74	0.00366		157	18	False	RAS+	anat		0	1	False	2.0	0.75		0.022		False	0.5208330154418945	0.5208330154418945	1.0
			datatype-anat_suffix-angio_acquisition-VARIANTParallelReductionFactorInPlanenanDim3Size40	datatype-anat_suffix-angio__2	datatype-anat_suffix-angio	2	0.0		0.0		0.0	0.0	0.0	4	288	384	40	0.00366		157	18	False	RAS+	anat		0	1	False		0.75		0.022		False	0.5208330154418945	0.5208330154418945	1.0
				datatype-anat_suffix-minIP_acquisition-axial__1	datatype-anat_suffix-minIP_acquisition-axial	1	0.0		0.0		0.0	0.0	0.0	153	288	384	1	0.00366		157	18	False	LAS+	anat		0	1	False	2.0	0.75		0.022		False	0.5208330154418945	0.5208330154418945	34.0
			datatype-anat_suffix-minIP_acquisition-axialVARIANTParallelReductionFactorInPlanenanVoxelSizeDim3C1	datatype-anat_suffix-minIP_acquisition-axial__2	datatype-anat_suffix-minIP_acquisition-axial	2	0.0		0.0		0.0	0.0	1.0	4	288	384	1	0.00366		157	18	False	LAS+	anat		0	1	False		0.75		0.022		False	0.5208330154418945	0.5208330154418945	40.0
				datatype-anat_suffix-minIP_acquisition-coronal__1	datatype-anat_suffix-minIP_acquisition-coronal	1	0.0		0.0		0.0	0.0	0.0	153	288	142	1	0.00366		157	18	False	LSP+	anat		0	1	False	2.0	0.75		0.022		False	0.5208330154418945	0.5208330154418945	34.0
			datatype-anat_suffix-minIP_acquisition-coronalVARIANTParallelReductionFactorInPlanenanDim2Size76VoxelSizeDim3C1	datatype-anat_suffix-minIP_acquisition-coronal__2	datatype-anat_suffix-minIP_acquisition-coronal	2	0.0		0.0		0.0	0.0	1.0	4	288	76	1	0.00366		157	18	False	LSP+	anat		0	1	False		0.75		0.022		False	0.5208330154418945	0.5208330154418945	200.0
				datatype-anat_suffix-minIP_acquisition-sagittal__1	datatype-anat_suffix-minIP_acquisition-sagittal	1	0.0		0.0		0.0	0.0	0.0	153	384	142	1	0.00366		157	18	False	PSR+	anat		0	1	False	2.0	0.75		0.022		False	0.5208330154418945	0.5208330154418945	34.0
			datatype-anat_suffix-minIP_acquisition-sagittalVARIANTParallelReductionFactorInPlanenanDim2Size76VoxelSizeDim3C1	datatype-anat_suffix-minIP_acquisition-sagittal__2	datatype-anat_suffix-minIP_acquisition-sagittal	2	0.0		0.0		0.0	0.0	1.0	4	384	76	1	0.00366		157	18	False	PSR+	anat		0	1	False		0.75		0.022		False	0.5208330154418945	0.5208330154418945	150.0
				datatype-anat_suffix-angio_acquisition-VARIANTParallelReductionFactorInPlanenanDim3Size40__1	datatype-anat_suffix-angio_acquisition-VARIANTParallelReductionFactorInPlanenanDim3Size40	1	0.0		0.0		0.0	0.0	0.0	69	288	384	40	0.00366		69	18	False	RAS+	anat		0	1	False		0.75		0.022		False	0.5208330154418945	0.5208330154418945	1.0
				datatype-anat_suffix-minIP_acquisition-axialVARIANTParallelReductionFactorInPlanenanVoxelSizeDim3C1__1	datatype-anat_suffix-minIP_acquisition-axialVARIANTParallelReductionFactorInPlanenanVoxelSizeDim3C1	1	0.0		0.0		0.0	0.0	0.0	69	288	384	1	0.00366		69	18	False	LAS+	anat		0	1	False		0.75		0.022		False	0.5208330154418945	0.5208330154418945	40.0
				datatype-anat_suffix-minIP_acquisition-coronalVARIANTParallelReductionFactorInPlanenanDim2Size76VoxelSizeDim3C1__1	datatype-anat_suffix-minIP_acquisition-coronalVARIANTParallelReductionFactorInPlanenanDim2Size76VoxelSizeDim3C1	1	0.0		0.0		0.0	0.0	0.0	69	288	76	1	0.00366		69	18	False	LSP+	anat		0	1	False		0.75		0.022		False	0.5208330154418945	0.5208330154418945	200.0
				datatype-anat_suffix-minIP_acquisition-sagittalVARIANTParallelReductionFactorInPlanenanDim2Size76VoxelSizeDim3C1__1	datatype-anat_suffix-minIP_acquisition-sagittalVARIANTParallelReductionFactorInPlanenanDim2Size76VoxelSizeDim3C1	1	0.0		0.0		0.0	0.0	0.0	69	384	76	1	0.00366		69	18	False	PSR+	anat		0	1	False		0.75		0.022		False	0.5208330154418945	0.5208330154418945	150.0
				datatype-anat_suffix-T2w_acquisition-VARIANTDim1Size144__1	datatype-anat_suffix-T2w_acquisition-VARIANTDim1Size144	1								1	144	256	256	0.408		1	120	False	RAS+	anat		0	1	False	2.0	1.0	i	3.2		False	1.0	0.9765629768371582	0.9765629768371582
				datatype-anat_suffix-T2w_acquisition-VARIANTObliquityTrue__1	datatype-anat_suffix-T2w_acquisition-VARIANTObliquityTrue	1								1	176	256	256	0.408		1	120	False	RAS+	anat		0	1	True	2.0	1.0	i	3.2		False	1.0	0.9765629768371582	0.9765629768371582
				datatype-anat_suffix-angio_acquisition-VARIANTParallelReductionFactorInPlane2p0Dim3Size74__1	datatype-anat_suffix-angio_acquisition-VARIANTParallelReductionFactorInPlane2p0Dim3Size74	1								1	288	384	74	0.00366		1	18	False	RAS+	anat		0	1	False	2.0	0.75		0.022		False	0.5208330154418945	0.5208330154418945	1.0
