subid,sesid,S1_score,S3_score,A2_score,A3_score
sub-19977,ses-1,1,0,1,0
sub-19981,ses-1,1,1,1,1
sub-20011,ses-1,1,1,1,1
sub-20017,ses-1,1,1,1,1
sub-20120,ses-1,0,1,0,1
sub-20151,ses-1,1,1,1,1
sub-20153,ses-1,1,1,1,1
sub-20189,ses-1,1,1,1,1
sub-20197,ses-1,1,1,1,1
sub-20247,ses-1,0,0,1,0
sub-20313,ses-1,1,1,1,0
sub-20320,ses-1,1,0,1,1
sub-20322,ses-1,1,1,1,1
sub-20325,ses-1,1,1,0,0
sub-20326,ses-1,1,1,1,1
sub-20327,ses-1,1,1,0,1
sub-20362,ses-1,1,1,1,1
sub-20386,ses-1,1,0,1,1
sub-20387,ses-1,1,1,1,1
sub-20461,ses-1,1,1,1,1
sub-20589,ses-1,1,1,1,1
sub-20649,ses-1,0,0,1,0
sub-20699,ses-1,1,0,1,1
sub-20809,ses-1,1,1,1,0
sub-20888,ses-1,1,1,1,1
sub-20940,ses-1,1,1,1,1
sub-20941,ses-1,1,0,1,1
sub-20949,ses-1,1,1,1,1
sub-20963,ses-1,1,1,1,1
sub-20974,ses-1,1,1,1,1
sub-20981,ses-1,1,1,1,1
sub-21016,ses-1,1,1,1,0
sub-21056,ses-1,1,1,1,1
sub-21059,ses-1,1,1,1,1
sub-21085,ses-1,1,1,1,1
sub-80557,ses-1,1,1,1,0
sub-80688,ses-1,1,0,1,1
sub-81725,ses-1,1,1,1,1
sub-81760,ses-1,1,1,1,1
sub-82051,ses-1,1,1,1,1
sub-82063,ses-1,1,1,0,1
sub-82492,ses-1,1,1,1,1
sub-82790,ses-1,1,1,1,1
sub-83010,ses-1,1,1,0,0
sub-83372,ses-1,1,1,1,1
sub-83454,ses-1,1,1,1,1
sub-83835,ses-1,0,0,0,0
sub-83999,ses-1,1,1,1,1
sub-84103,ses-1,1,1,1,1
sub-84354,ses-1,1,1,1,1
sub-84688,ses-1,0,0,0,0
sub-84761,ses-1,1,1,1,1
sub-84973,ses-1,0,1,1,1
sub-85083,ses-1,1,1,0,0
sub-85173,ses-1,1,0,0,0
sub-85369,ses-1,1,1,1,1
sub-85743,ses-1,1,1,1,1
sub-85853,ses-1,1,1,1,1
sub-86287,ses-1,0,0,0,0
sub-86350,ses-1,1,1,1,1
sub-86444,ses-1,1,1,1,1
sub-86486,ses-1,1,1,1,1
sub-86722,ses-1,1,1,0,0
sub-86924,ses-1,0,1,1,1
sub-86972,ses-1,1,1,1,1
sub-87135,ses-1,1,1,1,1
sub-87346,ses-1,0,0,0,0
sub-87445,ses-1,1,1,1,1
sub-87457,ses-1,1,1,1,1
sub-87538,ses-1,1,1,1,1
sub-87563,ses-1,1,1,1,1
sub-87601,ses-1,1,1,1,1
sub-87646,ses-1,1,0,1,1
sub-87804,ses-1,1,1,1,1
sub-87990,ses-1,1,1,1,1
sub-88209,ses-1,0,0,1,0
sub-88402,ses-1,1,1,1,1
sub-88589,ses-1,1,1,0,0
sub-88608,ses-1,1,1,1,1
sub-88760,ses-1,1,1,1,1
sub-88770,ses-1,1,1,1,1
sub-88773,ses-1,1,1,1,1
sub-89279,ses-1,1,1,1,1
sub-89377,ses-1,1,1,1,1
sub-90021,ses-1,1,1,1,0
sub-90060,ses-1,1,1,1,1
sub-90077,ses-1,1,1,1,1
sub-90262,ses-1,1,1,1,1
sub-90281,ses-1,1,1,1,1
sub-90683,ses-1,1,1,1,1
sub-91717,ses-1,1,1,0,1
sub-91919,ses-1,1,1,1,1
sub-91962,ses-1,1,1,1,1
sub-92089,ses-1,1,1,1,1
sub-92182,ses-1,0,1,0,0
sub-92193,ses-1,1,1,1,1
sub-92211,ses-1,1,1,1,1
sub-92554,ses-1,1,1,1,1
sub-92927,ses-1,1,1,1,1
sub-93051,ses-1,1,1,0,0
sub-93169,ses-1,1,1,1,1
sub-93274,ses-1,1,1,1,1
sub-93278,ses-1,1,1,1,1
sub-93292,ses-1,0,1,1,1
sub-93406,ses-1,1,0,1,1
sub-93517,ses-1,1,1,0,0
sub-93549,ses-1,1,1,0,1
sub-93723,ses-1,1,1,1,1
sub-93734,ses-1,1,1,1,1
sub-93787,ses-1,1,1,1,1
sub-93856,ses-1,1,1,1,1
sub-94276,ses-1,1,1,1,1
sub-94492,ses-1,0,0,0,0
sub-94848,ses-1,0,0,1,1
sub-95015,ses-1,0,0,0,0
sub-95057,ses-1,1,0,1,1
sub-95116,ses-1,1,1,1,1
sub-95257,ses-1,1,1,1,1
sub-95460,ses-1,1,1,1,1
sub-96659,ses-1,1,1,1,1
sub-97092,ses-1,1,0,1,1
sub-97271,ses-1,0,0,1,0
sub-97485,ses-1,0,1,1,1
sub-97994,ses-1,1,0,1,1
sub-98314,ses-1,1,1,1,1
sub-98394,ses-1,1,0,1,1
sub-98422,ses-1,1,1,1,1
sub-98535,ses-1,1,1,1,1
sub-98567,ses-1,1,1,1,1
sub-98831,ses-1,1,1,1,1
sub-98871,ses-1,1,1,1,1
sub-99352,ses-1,0,1,1,1
sub-99604,ses-1,1,1,1,1
sub-99949,ses-1,1,1,1,1
sub-99964,ses-1,1,1,1,0
sub-102041,ses-1,1,1,1,1
sub-103679,ses-1,1,1,1,1
sub-104059,ses-1,1,1,0,1
sub-104235,ses-1,1,1,1,1
sub-104785,ses-1,0,0,1,1
sub-105168,ses-1,1,1,1,1
sub-105176,ses-1,1,1,1,1
sub-105309,ses-1,1,1,1,1
sub-105767,ses-1,1,1,1,1
sub-105860,ses-1,1,1,1,1
sub-105979,ses-1,1,1,1,1
sub-106039,ses-1,1,1,1,1
sub-106246,ses-1,1,0,1,1
sub-106331,ses-1,0,0,0,0
sub-106802,ses-1,1,1,1,1
sub-106880,ses-1,1,1,0,1
sub-107055,ses-1,1,1,,1
sub-108202,ses-1,0,1,0,0
sub-109521,ses-1,1,1,1,0
sub-109646,ses-1,1,1,0,1
sub-109735,ses-1,1,1,1,1
sub-110168,ses-1,1,1,1,1
sub-110354,ses-1,1,1,1,1
sub-110828,ses-1,1,1,1,1
sub-112028,ses-1,1,1,1,1
sub-112061,ses-1,1,1,1,1
sub-112126,ses-1,1,1,0,0
sub-112249,ses-1,1,1,1,0
sub-112332,ses-1,1,1,1,1
sub-112694,ses-1,1,1,1,1
sub-113111,ses-1,1,1,1,1
sub-114709,ses-1,1,1,1,1
sub-114713,ses-1,1,1,1,1
sub-114723,ses-1,1,1,1,1
sub-114935,ses-1,1,1,1,1
sub-114990,ses-1,1,1,1,0
sub-115800,ses-1,1,1,1,1
sub-116019,ses-1,1,1,1,1
sub-116051,ses-1,1,0,1,1
sub-116210,ses-1,1,1,0,1
sub-116354,ses-1,0,0,0,0
sub-116360,ses-1,1,1,1,1
sub-117226,ses-1,1,0,1,1
sub-117397,ses-1,1,1,1,1
sub-118393,ses-1,1,1,1,1
sub-118864,ses-1,1,1,1,1
sub-118990,ses-1,1,1,1,1
sub-119302,ses-1,1,1,1,1
sub-119791,ses-1,1,1,1,1
sub-120217,ses-1,1,1,1,1
sub-120562,ses-1,1,1,1,1
sub-121001,ses-1,1,1,0,0
sub-121050,ses-1,0,1,0,0
sub-121085,ses-1,1,1,1,1
sub-121407,ses-1,1,1,1,1
sub-121476,ses-1,0,0,0,0
sub-121670,ses-1,1,1,1,1
sub-122522,ses-1,1,1,1,1
sub-122528,ses-1,1,1,1,1
sub-122801,ses-1,1,1,0,1
sub-122916,ses-1,1,1,1,1
sub-125511,ses-1,1,1,1,1
sub-125535,ses-1,1,1,1,1
sub-125554,ses-1,1,1,1,1
sub-126176,ses-1,1,1,1,1
sub-126389,ses-1,1,1,1,1
