participant_id,session_id,mean_FD,raw_neighbor_corr,num_outlier_bundles,num_missing_bundles,qc_determination_scalar_maps,qc_determination_bundles
sub-19977,ses-1,0.3956559332193333,0.944729,2,2,pass,pass
sub-19981,ses-1,0.2691130640200392,0.94945,0,0,pass,pass
sub-20011,ses-1,0.3134068013169316,0.953109,0,0,pass,pass
sub-20017,ses-1,0.3513295694233931,0.950226,0,0,pass,pass
sub-20120,ses-1,0.2914962515431675,0.94861,0,0,pass,pass
sub-20151,ses-1,0.2820398561422119,0.952523,2,1,pass,pass
sub-20153,ses-1,0.5970325033834093,0.934188,0,0,pass,pass
sub-20189,ses-1,0.3372419704648778,0.942298,2,2,pass,pass
sub-20197,ses-1,0.3512821250879401,0.949344,1,1,pass,pass
sub-20247,ses-1,0.5616405431582562,0.925153,1,1,pass,pass
sub-20313,ses-1,0.4310824791250342,0.942488,2,2,pass,pass
sub-20320,ses-1,0.3526279189332052,0.939487,0,0,pass,pass
sub-20322,ses-1,0.417643397413323,0.945415,0,0,pass,pass
sub-20325,ses-1,0.4042406835374016,0.946166,0,0,pass,pass
sub-20326,ses-1,0.4077989676505001,0.946807,42,20,pass,fail
sub-20327,ses-1,0.3972548462949508,0.93682,2,1,pass,pass
sub-20362,ses-1,0.4309743202022906,0.949642,1,1,pass,pass
sub-20386,ses-1,0.3787768250187931,0.942748,4,4,pass,pass
sub-20387,ses-1,0.3632080310334786,0.944812,1,1,pass,pass
sub-20461,ses-1,0.3362351063422854,0.945359,0,0,pass,pass
sub-20589,ses-1,0.4448234486667273,0.936778,0,0,pass,pass
sub-20649,ses-1,0.5580926629213881,0.929374,3,3,pass,pass
sub-20699,ses-1,0.4043508678511052,0.936266,1,1,pass,pass
sub-20809,ses-1,0.5255655503688206,0.937297,3,2,pass,pass
sub-20888,ses-1,0.6152793976171308,0.933928,0,0,pass,pass
sub-20940,ses-1,0.6898804814840085,0.937294,3,3,pass,pass
sub-20941,ses-1,0.7109652925236222,0.937584,1,1,pass,pass
sub-20949,ses-1,0.6888023950250923,0.934637,25,11,pass,fail
sub-20963,ses-1,0.6555132234337118,0.930167,1,1,pass,pass
sub-20974,ses-1,0.6556166117743146,0.930043,1,1,pass,pass
sub-20981,ses-1,0.5851412040890539,0.941933,0,0,pass,pass
sub-21016,ses-1,0.7880700572651733,0.917336,1,1,pass,pass
sub-21056,ses-1,0.6109507433307325,0.941201,0,0,pass,pass
sub-21059,ses-1,0.5467506613778325,0.937466,0,0,pass,pass
sub-21085,ses-1,0.5047518655013608,0.93798,1,1,pass,pass
sub-80557,ses-1,0.2824077079451333,0.9484,0,0,pass,pass
sub-80688,ses-1,0.3017148190992136,0.947839,0,0,pass,pass
sub-81725,ses-1,0.2999008100412648,0.946603,0,0,pass,pass
sub-81760,ses-1,0.3556299874147692,0.941545,0,0,pass,pass
sub-83372,ses-1,0.4126132163898124,0.940063,2,2,pass,pass
sub-83454,ses-1,0.2864694442978769,0.94628,1,1,pass,pass
sub-83835,ses-1,0.2637012837760834,0.949278,0,0,pass,pass
sub-84354,ses-1,0.3409569027882522,0.93861,2,2,pass,pass
sub-84688,ses-1,0.4872644348454701,0.929064,1,1,pass,pass
sub-84761,ses-1,0.4428696384964111,0.929415,0,0,pass,pass
sub-85083,ses-1,0.2589772198093931,0.941613,0,0,pass,pass
sub-85369,ses-1,0.3582215991857109,0.935719,2,2,pass,pass
sub-85743,ses-1,0.3579733599762684,0.948405,0,0,pass,pass
sub-86486,ses-1,0.444272597325247,0.940719,1,1,pass,pass
sub-86722,ses-1,0.270286203727229,0.940365,0,0,pass,pass
sub-86972,ses-1,0.2912990417083119,0.948747,0,0,pass,pass
sub-87346,ses-1,0.677115890902641,0.934318,3,3,pass,pass
sub-87445,ses-1,0.38408576160447,0.940294,1,1,pass,pass
sub-87563,ses-1,0.365346899345032,0.936043,0,0,pass,pass
sub-87601,ses-1,0.2979358386134743,0.945375,2,2,pass,pass
sub-87646,ses-1,0.2642653645912478,0.951235,1,1,pass,pass
sub-88402,ses-1,0.4219546526100864,0.930921,0,0,pass,pass
sub-88589,ses-1,0.2457686251701179,0.940534,1,1,pass,pass
sub-88608,ses-1,0.3552771906827265,0.941091,2,2,pass,pass
sub-88760,ses-1,0.5293081235062393,0.934744,2,2,pass,pass
sub-88770,ses-1,0.375478785067262,0.94625,1,1,pass,pass
sub-89279,ses-1,0.2639983343730239,0.952536,0,0,pass,pass
sub-89377,ses-1,0.5007936781462814,0.932239,1,0,pass,pass
sub-90021,ses-1,0.5618991671399008,0.917534,3,3,pass,pass
sub-90060,ses-1,0.291273947055459,0.943075,0,0,pass,pass
sub-90077,ses-1,0.5498832733012359,0.93007,1,1,pass,pass
sub-90262,ses-1,0.3853197821991441,0.945261,0,0,pass,pass
sub-90281,ses-1,0.3510646305206324,0.945417,59,15,pass,fail
sub-90683,ses-1,0.306123858644889,0.9372,1,1,pass,pass
sub-91717,ses-1,0.4181063299497111,0.93192,1,1,pass,pass
sub-91919,ses-1,0.3666818135337606,0.945565,0,0,pass,pass
sub-91962,ses-1,0.2954562658812871,0.943794,1,0,pass,pass
sub-92089,ses-1,0.3765884210979231,0.949917,1,1,pass,pass
sub-92182,ses-1,0.3150044194238324,0.942304,1,1,pass,pass
sub-92193,ses-1,0.5882093547328034,0.932295,0,0,pass,pass
sub-92211,ses-1,0.3539113987432734,0.943873,0,0,pass,pass
sub-92554,ses-1,0.3344274043519931,0.942166,0,0,pass,pass
sub-92927,ses-1,0.4906806084606358,0.940295,1,0,pass,pass
sub-93051,ses-1,0.3412323397978803,0.94561,1,1,pass,pass
sub-93274,ses-1,0.2409016697473333,0.953861,2,2,pass,pass
sub-93278,ses-1,0.3649228337053974,0.943824,66,40,pass,fail
sub-93292,ses-1,0.3261131767414358,0.945388,0,0,pass,pass
sub-93406,ses-1,0.3619685822493196,0.931464,1,1,pass,pass
sub-93517,ses-1,0.3054765352594632,0.945796,1,1,pass,pass
sub-93549,ses-1,0.4294942440766,0.93445,2,1,pass,pass
sub-93723,ses-1,0.5126380762863572,0.928376,1,1,pass,pass
sub-93787,ses-1,0.3136002488890874,0.947261,1,0,pass,pass
sub-94276,ses-1,0.2471680143051794,0.949786,0,0,pass,pass
sub-94492,ses-1,0.5528746982454873,0.92679,0,0,pass,pass
sub-94848,ses-1,0.2621776192814831,0.947838,0,0,pass,pass
sub-95015,ses-1,0.5541478564138804,0.939723,25,6,pass,fail
sub-95057,ses-1,0.304275503284988,0.947349,1,1,pass,pass
sub-95116,ses-1,0.2207235232242606,0.949164,1,1,pass,pass
sub-95257,ses-1,0.4681674071369949,0.937463,1,1,pass,pass
sub-95460,ses-1,0.3209739077535898,0.942919,1,1,pass,pass
sub-96659,ses-1,0.2913720649467185,0.948691,17,5,pass,fail
sub-97092,ses-1,0.2884274153373111,0.954631,0,0,pass,pass
sub-97271,ses-1,0.3614417124618632,0.947934,1,1,pass,pass
sub-97485,ses-1,0.4623311608400773,0.932637,0,0,pass,pass
sub-97994,ses-1,0.2532558945551615,0.944635,1,1,pass,pass
sub-98314,ses-1,0.3595382400702785,0.946984,0,0,pass,pass
sub-98422,ses-1,0.4249557260579735,0.941867,0,0,pass,pass
