sub,ses,acq,dir,space,desc,raw_dimension_x,raw_dimension_y,raw_dimension_z,raw_voxel_size_x,raw_voxel_size_y,raw_voxel_size_z,raw_max_b,raw_neighbor_corr,raw_masked_neighbor_corr,raw_dwi_contrast,raw_num_bad_slices,raw_num_directions,raw_coherence_index,t1_dimension_x,t1_dimension_y,t1_dimension_z,t1_voxel_size_x,t1_voxel_size_y,t1_voxel_size_z,t1_max_b,t1_neighbor_corr,t1_masked_neighbor_corr,t1_dwi_contrast,t1_num_bad_slices,t1_num_directions,t1_coherence_index,t1post_dimension_x,t1post_dimension_y,t1post_dimension_z,t1post_voxel_size_x,t1post_voxel_size_y,t1post_voxel_size_z,t1post_max_b,t1post_neighbor_corr,t1post_masked_neighbor_corr,t1post_dwi_contrast,t1post_num_bad_slices,t1post_num_directions,t1post_coherence_index,mean_fd,max_fd,max_rotation,max_translation,max_rel_rotation,max_rel_translation,t1_dice_distance,CNR0_mean,CNR1_mean,CNR2_mean,CNR3_mean,CNR0_median,CNR1_median,CNR2_median,CNR3_median,CNR0_standard_deviation,CNR1_standard_deviation,CNR2_standard_deviation,CNR3_standard_deviation,file_name,subject_id,session_id,task_id,dir_id,acq_id,space_id,rec_id,run_id
102041,1,multiband,AP,ACPC,image,140.0,140.0,92.0,1.5,1.5,1.5,2010.0,0.936954,0.785586,1.272167,0.0,109.0,6551.24,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.977452,0.898772,1.309013,0.0,109.0,6083.0,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.97638,0.874764,1.40912,0.0,109.0,6550.99,0.4236500834492761,1.2151412293299997,0.005218566861,0.6243690539,0.0055334332869999,0.7101441245,0.0256144881748475,22.849174,0.71409994,1.0740402,1.6286682,21.961134,0.5090659,0.7856909,1.2981381,11.89618,0.62492615,0.8605353,1.0194895,sub-102041_ses-1_acq-multiband_dir-AP,sub-102041,ses-1,,dir-AP,acq-multiband,,,
104059,1,multiband,AP,ACPC,image,140.0,140.0,92.0,1.5,1.5,1.5,2010.0,0.934013,0.762111,1.300879,14.0,109.0,5990.85,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.976268,0.87422,1.367771,0.0,109.0,5639.64,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.975809,0.868488,1.395143,0.0,109.0,5908.14,0.2817140238537949,1.1685823743899997,0.007148404606,0.4016436293,0.00477216125,0.6334414786,0.0300299841160631,25.463861,0.6840777,1.0271654,1.4361198,24.429249,0.50739276,0.78752446,1.1778954,12.494554,0.5639128,0.7660757,0.86650693,sub-104059_ses-1_acq-multiband_dir-AP,sub-104059,ses-1,,dir-AP,acq-multiband,,,
104235,1,multiband,AP,ACPC,image,140.0,140.0,92.0,1.5,1.5,1.5,2010.0,0.939794,0.779518,1.290943,4.0,109.0,5013.66,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.980682,0.907713,1.313211,0.0,109.0,5150.32,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.980417,0.874983,1.519381,0.0,109.0,5938.18,0.3587782157404164,1.60110855539,0.01008463185,0.6729548181,0.0092984839569999,0.8137930809,0.0232930315759211,22.152409,0.8599116,1.1860223,1.738049,21.378788,0.6412604,0.89716935,1.4071931,11.447982,0.70326495,0.90893793,1.0786539,sub-104235_ses-1_acq-multiband_dir-AP,sub-104235,ses-1,,dir-AP,acq-multiband,,,
104785,1,multiband,AP,ACPC,image,140.0,140.0,92.0,1.5,1.5,1.5,2010.0,0.952487,0.798078,1.46755,0.0,109.0,7465.04,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.981969,0.897584,1.520569,0.0,109.0,6324.57,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.981266,0.87143,1.733778,0.0,109.0,7118.81,0.2230130788313902,0.7986158409649998,0.004928611219,0.4096562671,0.002602179651,0.3784360673849999,0.029811633480413,29.501335,0.90276355,1.4897517,2.3232255,27.919367,0.65710163,1.1265649,1.8839726,15.687607,0.76856506,1.1631477,1.4851675,sub-104785_ses-1_acq-multiband_dir-AP,sub-104785,ses-1,,dir-AP,acq-multiband,,,
105168,1,multiband,AP,ACPC,image,140.0,140.0,92.0,1.5,1.5,1.5,2010.0,0.951895,0.810139,1.326398,0.0,109.0,6974.05,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.98245,0.909561,1.35819,0.0,109.0,6318.46,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.981894,0.885526,1.526446,0.0,109.0,6247.1,0.2506626788873658,0.8079420031129998,0.004179687705,0.346609771,0.0025474549624,0.485635934,0.025966585923246,29.515299,0.8937004,1.3394669,2.0078468,28.11591,0.6750408,1.0451651,1.6670468,15.446187,0.72804254,0.9972276,1.2281092,sub-105168_ses-1_acq-multiband_dir-AP,sub-105168,ses-1,,dir-AP,acq-multiband,,,
105176,1,multiband,AP,ACPC,image,140.0,140.0,92.0,1.5,1.5,1.5,2010.0,0.933284,0.754509,1.336216,0.0,109.0,6657.06,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.975624,0.883324,1.37498,0.0,109.0,5212.32,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.974788,0.850612,1.563352,0.0,109.0,5968.28,0.5124615506414684,1.20326886012,0.004547356162,0.6666936958,0.004728641594,0.9988772545,0.0242496838175093,21.221909,0.7479237,1.0921309,1.6694757,20.521446,0.5469438,0.8186232,1.3615376,10.965999,0.6284518,0.8448541,0.9968607,sub-105176_ses-1_acq-multiband_dir-AP,sub-105176,ses-1,,dir-AP,acq-multiband,,,
105309,1,multiband,AP,ACPC,image,140.0,140.0,92.0,1.5,1.5,1.5,2010.0,0.949291,0.806302,1.314668,0.0,109.0,6207.14,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.982156,0.910849,1.345381,0.0,109.0,5071.09,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.979013,0.951408,1.077154,0.0,109.0,786.235,0.2594605271707427,0.686093824945,0.004760613665,0.4636269786,0.003703375696,0.4052202822999999,0.0222862093206558,25.910746,0.79326785,1.2689211,1.8543231,24.905876,0.57174546,0.94901055,1.4930491,13.220726,0.68777645,0.99268734,1.170686,sub-105309_ses-1_acq-multiband_dir-AP,sub-105309,ses-1,,dir-AP,acq-multiband,,,
105767,1,multiband,AP,ACPC,image,140.0,140.0,92.0,1.5,1.5,1.5,2010.0,0.940412,0.753655,1.350481,0.0,109.0,5464.04,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.978215,0.872463,1.412749,0.0,109.0,4448.94,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.977693,0.859212,1.485525,0.0,109.0,4734.73,0.395258420365105,1.0275163829826,0.004315370228,0.579955071,0.00305733210868,0.8851045046,0.0296610326653388,23.03345,0.75476426,1.0796129,1.5339494,22.302053,0.56301373,0.82950157,1.2622825,11.682882,0.62023205,0.80574495,0.92031765,sub-105767_ses-1_acq-multiband_dir-AP,sub-105767,ses-1,,dir-AP,acq-multiband,,,
105860,1,multiband,AP,ACPC,image,140.0,140.0,92.0,1.5,1.5,1.5,2010.0,0.942206,0.790597,1.321012,0.0,109.0,6159.21,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.979438,0.902593,1.355288,0.0,109.0,5168.13,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.97932,0.880619,1.500517,0.0,109.0,6293.39,0.2525559822756923,0.93643907375,0.006061906461,0.4155291702,0.00389243057,0.6295020121,0.0240630664144432,27.254805,0.8001221,1.2846988,1.9476209,26.252075,0.57798016,0.96906817,1.5667846,13.657172,0.68114805,0.9796383,1.2099966,sub-105860_ses-1_acq-multiband_dir-AP,sub-105860,ses-1,,dir-AP,acq-multiband,,,
106039,1,multiband,AP,ACPC,image,140.0,140.0,92.0,1.5,1.5,1.5,2010.0,0.935246,0.779041,1.312112,1.0,109.0,7177.82,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.976448,0.893354,1.361305,0.0,109.0,5947.54,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.975462,0.872866,1.455623,0.0,109.0,6625.0,0.5104198486831216,1.110116673444,0.005100131501,0.6617575064,0.0038254617835,0.7992902775999999,0.0235314055061701,22.967123,0.79723674,1.1766813,1.7563164,22.063087,0.55174017,0.82940245,1.3816807,12.093621,0.71475136,0.9880646,1.1019031,sub-106039_ses-1_acq-multiband_dir-AP,sub-106039,ses-1,,dir-AP,acq-multiband,,,
