subject,session,total_volume_mm3_Association_ExtremeCapsuleR,total_volume_mm3_Association_UncinateFasciculusR,total_volume_mm3_Association_HippocampusAlveusL,total_volume_mm3_Association_SuperiorLongitudinalFasciculusR,total_volume_mm3_Association_FrontalAslantTractR,total_volume_mm3_Association_ArcuateFasciculusL,total_volume_mm3_Association_FrontalAslantTractL,total_volume_mm3_Association_ParietalAslantTractR,total_volume_mm3_Association_ArcuateFasciculusR,total_volume_mm3_Association_VerticalOccipitalFasciculusR,total_volume_mm3_Association_ExtremeCapsuleL,total_volume_mm3_Association_InferiorLongitudinalFasciculusR,total_volume_mm3_Association_CingulumL,total_volume_mm3_Association_HippocampusAlveusR,total_volume_mm3_Association_InferiorFrontoOccipitalFasciculusL,total_volume_mm3_Association_MiddleLongitudinalFasciculusR,total_volume_mm3_Association_InferiorLongitudinalFasciculusL,total_volume_mm3_Association_SuperiorLongitudinalFasciculusL,total_volume_mm3_Association_ParietalAslantTractL,total_volume_mm3_Association_VerticalOccipitalFasciculusL,total_volume_mm3_Association_UncinateFasciculusL,total_volume_mm3_Association_InferiorFrontoOccipitalFasciculusR,total_volume_mm3_Association_CingulumR,total_volume_mm3_Association_MiddleLongitudinalFasciculusL,total_volume_mm3_ProjectionBrainstem_CorticospinalTractL,total_volume_mm3_ProjectionBasalGanglia_AnsaLenticularisL,total_volume_mm3_ProjectionBrainstem_CorticopontineTractR,total_volume_mm3_ProjectionBrainstem_MedialLemniscusL,total_volume_mm3_ProjectionBasalGanglia_FornixL,total_volume_mm3_ProjectionBasalGanglia_AnsaLenticularisR,total_volume_mm3_ProjectionBrainstem_NonDecussatingDentatorubrothalamicTractR,total_volume_mm3_ProjectionBrainstem_MedialLemniscusR,total_volume_mm3_ProjectionBasalGanglia_FasciculusLenticularisL,total_volume_mm3_ProjectionBrainstem_CorticopontineTractL,total_volume_mm3_ProjectionBrainstem_CorticobulbarTractL,total_volume_mm3_ProjectionBasalGanglia_CorticostriatalTractR,total_volume_mm3_ProjectionBrainstem_ReticularTractL,total_volume_mm3_ProjectionBrainstem_CorticobulbarTractR,total_volume_mm3_ProjectionBasalGanglia_CorticostriatalTractL,total_volume_mm3_ProjectionBrainstem_NonDecussatingDentatorubrothalamicTractL,total_volume_mm3_ProjectionBrainstem_MedialForebrainBundleL,total_volume_mm3_ProjectionBasalGanglia_AnsaSubthalamicaR,total_volume_mm3_ProjectionBasalGanglia_FasciculusLenticularisR,total_volume_mm3_ProjectionBasalGanglia_OpticRadiationR,total_volume_mm3_ProjectionBrainstem_ReticularTractR,total_volume_mm3_ProjectionBasalGanglia_OpticRadiationL,total_volume_mm3_ProjectionBasalGanglia_AcousticRadiationR,total_volume_mm3_ProjectionBasalGanglia_FasciculusSubthalamicusL,total_volume_mm3_ProjectionBasalGanglia_ThalamicRadiationR,total_volume_mm3_ProjectionBasalGanglia_FasciculusSubthalamicusR,total_volume_mm3_ProjectionBasalGanglia_FornixR,total_volume_mm3_ProjectionBasalGanglia_AnsaSubthalamicaL,total_volume_mm3_ProjectionBrainstem_DentatorubrothalamicTract-lr,total_volume_mm3_ProjectionBasalGanglia_AcousticRadiationL,total_volume_mm3_ProjectionBrainstem_DentatorubrothalamicTract-rl,total_volume_mm3_ProjectionBasalGanglia_ThalamicRadiationL,total_volume_mm3_ProjectionBrainstem_MedialForebrainBundleR,total_volume_mm3_ProjectionBrainstem_CorticospinalTractR,total_volume_mm3_Commissure_CorpusCallosum,total_volume_mm3_Commissure_AnteriorCommissure,total_volume_mm3_Cerebellum_CerebellumR,total_volume_mm3_Cerebellum_SuperiorCerebellarPeduncle,total_volume_mm3_Cerebellum_InferiorCerebellarPeduncleL,total_volume_mm3_Cerebellum_InferiorCerebellarPeduncleR,total_volume_mm3_Cerebellum_MiddleCerebellarPeduncle,total_volume_mm3_Cerebellum_Vermis,total_volume_mm3_Cerebellum_CerebellumL,total_volume_mm3_CranialNerve_CNVIIL,total_volume_mm3_CranialNerve_CNIIIL,total_volume_mm3_CranialNerve_CNVIIIL,total_volume_mm3_CranialNerve_CNVL,total_volume_mm3_CranialNerve_CNIIR,total_volume_mm3_CranialNerve_CNIIL,total_volume_mm3_CranialNerve_CNVIIIR,total_volume_mm3_CranialNerve_CNVR,total_volume_mm3_CranialNerve_CNIIIR,total_volume_mm3_CranialNerve_CNVIIR,total_volume_all_bundles,mean_bundle_volume
sub-114935,ses-1,9598.77,14726.1,9407.78,33592.0,21172.0,23638.9,21582.8,18647.9,23820.1,10825.8,10405.1,37836.9,29815.2,7702.97,28779.7,12904.6,35960.1,29469.4,20186.3,10671.7,13006.6,28018.8,31357.2,8725.49,5287.0,4989.15,29369.3,4896.42,6656.5,4668.58,19371.3,7172.37,1058.14,26318.9,451.382,40153.9,10659.4,,36049.1,14595.9,6040.53,2702.15,1314.23,5987.1,16472.7,8000.82,3579.73,3817.4,30101.3,3639.3,6601.23,2183.21,1613.92,2186.9,1254.04,34069.8,7041.56,4995.29,124393.0,2444.83,38851.4,14799.8,11847.7,12565.0,43372.0,24380.8,39359.9,1921.6,1950.46,5215.15,3318.73,3998.57,3778.71,6101.33,3108.7,2077.58,1211.67,1189847.692,15655.890684210526
sub-121050,ses-1,11659.8,11152.5,7278.61,34269.4,18919.3,19023.1,18682.3,20764.8,10823.3,10338.2,8110.13,40961.5,34229.5,6665.1,31515.1,8484.75,43822.1,31693.8,17964.4,10529.8,13093.8,32599.0,32830.5,7504.61,6832.14,4007.17,23238.5,2421.49,4952.3,4066.12,11964.4,5268.58,1137.97,21999.8,799.591,40739.8,12821.1,662.027,44877.8,12514.0,4476.97,1300.72,1302.56,4717.09,12106.9,6495.6,4064.89,2401.23,35610.0,2353.33,5557.83,569.294,2587.31,3436.03,1331.42,34003.5,5761.72,5894.37,133876.0,4095.6,37021.3,12080.5,10300.7,10065.5,39156.0,19298.3,39134.5,125.282,1418.01,3028.86,1822.72,4031.73,4278.61,4209.83,4406.96,2338.59,639.304,1146517.2480000004,14889.834389610394
sub-120217,ses-1,11813.9,16391.6,9504.2,28640.9,27474.1,24355.6,21215.6,19054.5,12725.3,9918.73,5507.47,43777.3,31980.6,7774.82,33513.4,8271.65,36688.4,34274.9,18001.8,8586.7,18640.5,35675.1,30837.7,9171.96,3132.04,4359.06,26831.7,4281.68,4053.23,3814.94,16228.9,6609.83,996.111,28700.5,489.458,46730.6,6980.15,352.508,43260.8,17837.3,5602.05,2357.63,734.494,5958.24,8671.45,6630.09,3099.49,2902.35,41948.4,2040.74,7463.46,1382.4,893.552,2904.2,2447.9,39178.7,5044.42,1699.9,131972.0,6442.79,29677.0,13716.5,12381.4,10959.7,38469.4,16166.8,31445.7,2148.21,2034.6,4518.12,4120.78,3567.45,3910.75,5578.71,3781.78,2415.97,605.527,1183328.19,15367.89857142857
sub-104059,ses-1,11406.8,19083.3,11166.6,32641.4,20131.0,21845.7,23919.6,21563.8,25662.4,12074.9,6167.66,40389.8,37621.3,8961.31,26062.2,9517.1,38402.5,36315.1,19978.1,11396.9,20661.0,29533.3,33194.7,1217.2,5745.75,5902.36,25810.4,2947.8,6913.82,5579.33,15592.0,5814.54,2221.29,32572.6,1387.31,44300.5,6746.78,1370.73,40729.4,12035.0,5268.58,2777.69,1733.67,3978.3,8969.3,9736.34,5479.84,4184.65,27950.7,3341.45,9075.54,1534.08,1450.56,6912.59,1448.72,34593.7,6186.08,2347.8,124971.0,7919.76,28641.6,12958.7,11385.3,13131.2,45278.8,14037.7,28017.0,1128.15,1435.21,4413.1,2898.06,7669.19,5181.99,4899.49,4075.33,1731.22,381.372,1191707.042,15476.71483116883
sub-98535,ses-1,5655.48,20229.3,9934.7,36795.3,27512.8,21781.2,28760.1,24279.4,18470.4,10804.3,3302.15,53189.4,43047.1,9464.28,41837.9,10087.0,48421.3,38052.4,26984.7,11947.2,16082.1,44920.2,42855.5,9443.4,8624.16,5955.17,30643.0,6972.16,6453.84,6411.47,15445.9,9303.99,2000.21,34452.4,5154.35,49693.2,11000.8,2031.53,45102.0,18955.0,5760.49,2080.66,2067.76,8114.43,18733.3,11178.3,7587.51,4088.23,43101.8,3540.43,8726.72,2172.77,,8293.76,529.99,43375.0,8335.52,6963.56,177688.0,1754.56,35674.5,13107.9,14145.1,13236.9,44666.5,22066.7,41337.4,1101.13,1129.99,5141.45,4363.36,4324.67,3413.92,7200.62,4852.82,2784.44,1376.87,1446073.8500000003,19027.287500000006
sub-108202,ses-1,5519.14,14551.1,9781.78,36025.2,11643.8,25085.8,15230.9,21566.8,8396.93,8892.53,4118.94,37394.1,31430.3,8834.19,22195.1,6732.65,35489.7,26855.1,17130.4,9593.86,14739.6,27331.6,39146.8,3492.53,3872.06,3809.42,25492.9,1673.49,5197.34,4470.83,16899.5,3171.96,966.633,19348.6,264.688,43685.8,3702.56,763.357,41929.4,5563.97,5893.76,2234.8,937.155,490.072,6625.18,8718.12,2862.44,3099.49,25786.5,2732.86,5860.6,1112.79,2366.84,5049.95,,30360.5,5754.35,4529.17,133367.0,5845.86,36399.2,13469.6,8763.56,11540.0,33920.0,16287.8,36006.1,595.701,949.437,5536.95,3479.63,5857.52,3109.93,5264.89,3603.07,2495.19,127.738,1063025.1109999998,13987.172513157891
sub-20699,ses-1,12337.8,21344.5,13125.1,47439.3,24477.2,26751.9,27261.6,20848.3,18287.4,11172.2,15424.4,49388.5,44558.5,9454.45,40456.1,10800.0,48770.7,45565.6,20154.4,9709.93,20777.1,41923.2,40572.2,9126.51,8747.6,5307.27,30250.0,8974.21,9410.24,6580.35,17390.8,9328.56,1914.84,32064.1,,54471.7,13634.2,3679.84,50258.1,18565.0,6004.3,2699.69,1655.68,5908.5,10838.1,6705.02,2499.49,3781.78,33810.7,3935.31,8804.71,1129.99,2505.02,3749.23,1201.84,36393.0,8267.35,9841.97,161603.0,3735.72,37220.9,13682.1,12600.0,12006.8,40162.5,19413.1,34473.9,2088.03,1783.42,6628.87,3799.59,6291.71,6038.69,5813.31,5186.9,2606.96,1556.81,1426727.69,18772.732763157896
sub-88589,ses-1,8538.18,13929.6,11504.4,34246.1,21125.3,23455.3,20120.0,25906.2,10610.9,9832.76,7333.88,43875.5,33486.4,10578.9,30919.4,10400.2,41904.2,42884.4,24851.8,12002.5,16304.4,29005.1,33441.6,9770.12,5555.99,5498.26,41234.8,5309.73,7450.56,5380.35,15575.4,4377.48,1935.72,42292.3,926.715,63030.1,6113.61,455.067,53411.7,15647.9,6867.15,2442.99,1979.32,5797.34,13665.5,6544.73,5251.38,5098.47,36445.9,4214.13,8704.61,2254.45,,3980.14,1952.92,33894.8,8312.8,9510.95,138955.0,1286.59,36289.3,13123.2,12694.6,10610.2,46652.0,18972.2,36034.4,1980.55,1565.4,5187.51,3647.29,5166.02,5772.77,6507.88,5462.64,2787.51,2446.06,1312281.5219999999,17266.862131578946
sub-98422,ses-1,14860.0,21544.7,9185.47,42656.5,24073.7,25035.4,27856.1,24852.4,16138.0,8852.61,12079.2,37415.0,40383.0,7567.86,35491.5,13871.2,42574.8,43282.3,23446.1,10890.3,22278.6,28934.5,39285.0,14139.0,8880.25,5160.49,31656.3,5681.27,5613.72,5741.45,18308.9,7198.77,1083.32,34784.0,3377.07,49662.4,6169.5,1070.42,44159.9,15927.9,5013.1,2571.34,1957.83,7286.59,5318.94,10548.2,4804.91,3719.14,30164.0,4697.44,5039.51,2837.87,1182.19,6746.16,5810.24,36616.0,7656.91,8436.24,141434.0,3093.96,27428.7,13613.3,9751.69,10395.3,42230.9,16644.0,28559.3,1544.52,1371.96,5035.21,4504.61,5164.18,5420.27,6430.5,4877.38,2469.4,1418.63,1312963.3199999998,17051.471688311685
sub-99949,ses-1,12752.3,12501.1,7009.62,27244.4,18086.0,21305.2,19759.5,19666.7,18662.0,9545.34,10601.6,35861.2,29268.0,7152.71,31352.3,12648.5,36023.3,27555.8,19569.1,9327.95,12738.8,29266.1,33308.9,8259.37,1158.24,4328.35,20298.1,1556.81,6322.42,4576.46,10935.7,3660.19,1822.72,20053.6,162.129,41800.4,5834.8,,34469.0,9122.83,4599.8,2060.39,1357.83,4768.68,9331.63,8120.58,734.494,3555.17,27454.5,2928.76,6174.41,1392.22,2766.63,3469.81,604.299,28766.2,4596.11,431.73,130459.0,1567.25,35106.5,12757.8,9829.07,11696.6,30904.0,17021.7,28251.0,831.525,1800.61,4733.68,2876.56,3124.67,4182.81,3619.65,2124.87,2428.25,383.214,1052379.5410000002,13847.099223684214
