subject,session,total_volume_mm3_Association_ExtremeCapsuleR,total_volume_mm3_Association_UncinateFasciculusR,total_volume_mm3_Association_HippocampusAlveusL,total_volume_mm3_Association_SuperiorLongitudinalFasciculusR,total_volume_mm3_Association_FrontalAslantTractR,total_volume_mm3_Association_ArcuateFasciculusL,total_volume_mm3_Association_FrontalAslantTractL,total_volume_mm3_Association_ParietalAslantTractR,total_volume_mm3_Association_ArcuateFasciculusR,total_volume_mm3_Association_VerticalOccipitalFasciculusR,total_volume_mm3_Association_ExtremeCapsuleL,total_volume_mm3_Association_InferiorLongitudinalFasciculusR,total_volume_mm3_Association_CingulumL,total_volume_mm3_Association_HippocampusAlveusR,total_volume_mm3_Association_InferiorFrontoOccipitalFasciculusL,total_volume_mm3_Association_MiddleLongitudinalFasciculusR,total_volume_mm3_Association_InferiorLongitudinalFasciculusL,total_volume_mm3_Association_SuperiorLongitudinalFasciculusL,total_volume_mm3_Association_ParietalAslantTractL,total_volume_mm3_Association_VerticalOccipitalFasciculusL,total_volume_mm3_Association_UncinateFasciculusL,total_volume_mm3_Association_InferiorFrontoOccipitalFasciculusR,total_volume_mm3_Association_CingulumR,total_volume_mm3_Association_MiddleLongitudinalFasciculusL,total_volume_mm3_ProjectionBrainstem_CorticospinalTractL,total_volume_mm3_ProjectionBasalGanglia_AnsaLenticularisL,total_volume_mm3_ProjectionBrainstem_CorticopontineTractR,total_volume_mm3_ProjectionBrainstem_MedialLemniscusL,total_volume_mm3_ProjectionBasalGanglia_FornixL,total_volume_mm3_ProjectionBasalGanglia_AnsaLenticularisR,total_volume_mm3_ProjectionBrainstem_NonDecussatingDentatorubrothalamicTractR,total_volume_mm3_ProjectionBrainstem_MedialLemniscusR,total_volume_mm3_ProjectionBasalGanglia_FasciculusLenticularisL,total_volume_mm3_ProjectionBrainstem_CorticopontineTractL,total_volume_mm3_ProjectionBrainstem_CorticobulbarTractL,total_volume_mm3_ProjectionBasalGanglia_CorticostriatalTractR,total_volume_mm3_ProjectionBrainstem_ReticularTractL,total_volume_mm3_ProjectionBrainstem_CorticobulbarTractR,total_volume_mm3_ProjectionBasalGanglia_CorticostriatalTractL,total_volume_mm3_ProjectionBrainstem_NonDecussatingDentatorubrothalamicTractL,total_volume_mm3_ProjectionBrainstem_MedialForebrainBundleL,total_volume_mm3_ProjectionBasalGanglia_AnsaSubthalamicaR,total_volume_mm3_ProjectionBasalGanglia_FasciculusLenticularisR,total_volume_mm3_ProjectionBasalGanglia_OpticRadiationR,total_volume_mm3_ProjectionBrainstem_ReticularTractR,total_volume_mm3_ProjectionBasalGanglia_OpticRadiationL,total_volume_mm3_ProjectionBasalGanglia_AcousticRadiationR,total_volume_mm3_ProjectionBasalGanglia_FasciculusSubthalamicusL,total_volume_mm3_ProjectionBasalGanglia_ThalamicRadiationR,total_volume_mm3_ProjectionBasalGanglia_FasciculusSubthalamicusR,total_volume_mm3_ProjectionBasalGanglia_FornixR,total_volume_mm3_ProjectionBasalGanglia_AnsaSubthalamicaL,total_volume_mm3_ProjectionBrainstem_DentatorubrothalamicTract-lr,total_volume_mm3_ProjectionBasalGanglia_AcousticRadiationL,total_volume_mm3_ProjectionBrainstem_DentatorubrothalamicTract-rl,total_volume_mm3_ProjectionBasalGanglia_ThalamicRadiationL,total_volume_mm3_ProjectionBrainstem_MedialForebrainBundleR,total_volume_mm3_ProjectionBrainstem_CorticospinalTractR,total_volume_mm3_Commissure_CorpusCallosum,total_volume_mm3_Commissure_AnteriorCommissure,total_volume_mm3_Cerebellum_CerebellumR,total_volume_mm3_Cerebellum_SuperiorCerebellarPeduncle,total_volume_mm3_Cerebellum_InferiorCerebellarPeduncleL,total_volume_mm3_Cerebellum_InferiorCerebellarPeduncleR,total_volume_mm3_Cerebellum_MiddleCerebellarPeduncle,total_volume_mm3_Cerebellum_Vermis,total_volume_mm3_Cerebellum_CerebellumL,total_volume_mm3_CranialNerve_CNVIIL,total_volume_mm3_CranialNerve_CNIIIL,total_volume_mm3_CranialNerve_CNVIIIL,total_volume_mm3_CranialNerve_CNVL,total_volume_mm3_CranialNerve_CNIIR,total_volume_mm3_CranialNerve_CNIIL,total_volume_mm3_CranialNerve_CNVIIIR,total_volume_mm3_CranialNerve_CNVR,total_volume_mm3_CranialNerve_CNIIIR,total_volume_mm3_CranialNerve_CNVIIR,total_volume_all_bundles,mean_bundle_volume,num_row_outliers,num_missing_bundles
sub-114935,ses-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1189847.692,15655.890684210526,1,1
sub-121050,ses-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1146517.2480000004,14889.834389610394,0,0
sub-120217,ses-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1183328.19,15367.89857142857,0,0
sub-104059,ses-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1191707.042,15476.71483116883,0,0
sub-98535,ses-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1446073.8500000003,19027.287500000006,2,1
sub-108202,ses-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063025.1109999998,13987.172513157891,2,1
sub-20699,ses-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1426727.69,18772.732763157896,1,1
sub-88589,ses-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1312281.5219999999,17266.862131578946,1,1
sub-98422,ses-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1312963.3199999998,17051.471688311685,0,0
sub-99949,ses-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1052379.5410000002,13847.099223684214,1,1
