participant_id	bisbas_1	bisbas_2	bisbas_3	bisbas_4	bisbas_5	bisbas_6	bisbas_7	bisbas_8	bisbas_9	bisbas_10	bisbas_11	bisbas_12	bisbas_13	bisbas_14	bisbas_15	bisbas_16	bisbas_17	bisbas_18	bisbas_19	bisbas_20	bisbas_21	bisbas_22	bisbas_23	bisbas_24
sub-102041	1	2	3	1	1	2	2	3	1	1	2	2	2	2	1	3	1	2	2	1	2	2	1	2
sub-103679	1	2	3	1	1	2	1	2	2	2	3	2	2	1	3	3	2	3	2	3	3	2	1	2
sub-104059	2	1	1	3	2	3	2	3	2	1	4	2	1	2	1	3	1	3	1	4	1	1	1	1
sub-104235	1	1	1	1	1	1	1	4	1	1	4	1	4	1	3	3	4	4	4	4	1	1	1	4
sub-104785	1	3	2	1	1	2	1	2	2	1	3	1	2	1	2	2	1	1	2	1	2	3	1	3
sub-105168	1	2	2	2	1	1	2	3	1	2	3	1	2	2	2	3	2	2	2	2	3	2	2	2
sub-105176	2	3	2	1	1	2	1	4	2	2	4	3	2	2	4	3	3	2	2	1	2	3	1	1
sub-105309	1	1	1	1	1	2	1	4	1	2	4	2	4	2	4	4	1	2	2	1	4	2	1	2
sub-105767	2	2	2	2	2	3	1	3	2	2	1	2	3	2	1	2	1	1	2	2	2	2	2	2
sub-105860	2	3	2	2	2	1	2	2	3	3	3	2	2	2	3	2	2	2	2	2	3	3	1	2
sub-105979	1	4	2	1	2	2	1	3	2	2	3	2	3	2	3	2	2	2	2	2	3	2	1	2
sub-106039	1	4	2	1	1	2	1	2	2	2	2	2	2	2	3	3	1	3	1	1	3	1	2	1
sub-106071	2	4	2	1	1	1	1	3	1	3	4	1	4	2	2	4	4	2	4	2	2	4	1	3
sub-106246	3	3	2	1	2	1	1	1	2	3	2	3	1	1	2	1	1	2	1	2	1	3	1	1
sub-106331	1	1	1	1	1	1	1	3	1	2	2	2	4	2	2	2	2	2	2	2	2	2	1	4
sub-106802	1	4	2	1	1	1	1	2	2	1	4	2	1	1	2	1	1	1	1	1	2	4	1	2
sub-106880	1	2	1	1	1	1	1	4	2	3	4	2	3	2	3	3	1	2	2	2	3	1	1	2
sub-107055	1	2	1	1	1	3	1	3	1	1	4	2	3	1	3	2	2	1	1	1	3	1	1	1
sub-108202	1	2	2	1	1	2	1	2	1	3	4	2	4	1	3	2	1	1	2	3	3	2	1	2
sub-109521	1	3	3	2	1	2	2	1	3	2	4	2	2	1	3	3	2	2	1	2	3	2	2	2
sub-109646	2	3	2	2	1	3	2	2	2	1	2	3	2	3	3	3	1	1	1	3	3	4	1	1
sub-109735	2	3	2	2	1	2	1	2	2	1	1	2	1	1	1	2	2	2	1	1	2	2	3	2
sub-110168	1	2	2	1	1	3	1	3	2	2	3	2	2	2	3	3	1	1	2	2	3	2	1	1
sub-110354	1	1	1	1	1	1	1	2	1	2	4	1	1	1	2	2	4	1	1	4	1	1	1	1
sub-110828	2	4	1	1	1	1	1	1	1	2	4	1	2	1	2	1	1	1	1	1	1	1	1	1
