participant_id	cnb_gng_cr	cnb_gng_tp	cnb_gng_fp	cnb_gng_tn	cnb_gng_fn	cnb_gng_rtcr	cnb_gng_rter	cnb_gng_rt
sub-102041	142.0	95.0	7.0	47.0	1.0	404.0	375.0	403.0
sub-103679	148.0	96.0	2.0	52.0	0.0	497.0	450.5	497.0
sub-104059	135.0	85.0	4.0	50.0	11.0	480.0	348.5	478.0
sub-104235	137.0	90.0	7.0	47.0	6.0	486.0	409.0	481.0
sub-104785	146.0	96.0	4.0	50.0	0.0	362.5	350.5	361.5
sub-105168	146.0	96.0	4.0	50.0	0.0	411.0	362.5	408.5
sub-105176	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-105309	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-105767	137.0	90.0	7.0	47.0	6.0	465.0	438.0	462.0
sub-105860	149.0	96.0	1.0	53.0	0.0	390.0	375.0	389.0
sub-105979	142.0	96.0	8.0	46.0	0.0	376.0	357.0	376.0
sub-106039	143.0	93.0	4.0	50.0	3.0	503.0	359.5	503.0
sub-106071	143.0	95.0	6.0	48.0	1.0	512.0	408.5	496.0
sub-106246	147.0	96.0	3.0	51.0	0.0	470.0	416.0	470.0
sub-106331	138.0	84.0	0.0	54.0	12.0	521.5	n/a	521.5
sub-106802	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-106880	148.0	95.0	1.0	53.0	1.0	403.0	391.0	402.0
sub-107055	148.0	96.0	2.0	52.0	0.0	416.5	383.5	416.0
sub-108202	146.0	94.0	2.0	52.0	2.0	442.5	404.0	442.5
sub-109521	150.0	96.0	0.0	54.0	0.0	484.0	n/a	484.0
sub-109646	149.0	96.0	1.0	53.0	0.0	476.0	424.0	476.0
sub-109735	149.0	96.0	1.0	53.0	0.0	488.0	409.0	488.0
sub-110168	149.0	96.0	1.0	53.0	0.0	402.5	378.0	401.0
sub-110354	120.0	71.0	5.0	49.0	25.0	609.0	467.0	587.0
sub-110828	143	96	7	47	0	423.5	497	431
sub-112028	149.0	96.0	1.0	53.0	0.0	417.5	425.0	418.0
sub-112061	141.0	96.0	9.0	45.0	0.0	434.0	345.0	421.0
sub-112126	146.0	96.0	4.0	50.0	0.0	422.0	376.0	421.0
sub-112249	148.0	96.0	2.0	52.0	0.0	475.5	371.0	474.5
sub-112332	145.0	96.0	5.0	49.0	0.0	503.0	375.0	487.0
sub-112694	145.0	94.0	3.0	51.0	2.0	426.0	375.0	424.0
sub-113111	149.0	96.0	1.0	53.0	0.0	404.0	489.0	404.0
sub-114709	144.0	96.0	6.0	48.0	0.0	439.0	406.0	439.0
sub-114713	150.0	96.0	0.0	54.0	0.0	419.5	n/a	419.5
sub-114723	145.0	96.0	5.0	49.0	0.0	496.0	460.0	492.0
sub-114935	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-114990	147.0	95.0	2.0	52.0	1.0	469.0	408.0	468.0
sub-115800	142.0	95.0	7.0	47.0	1.0	413.0	369.0	412.0
sub-116019	143.0	95.0	6.0	48.0	1.0	421.0	375.5	420.0
sub-116051	148.0	96.0	2.0	52.0	0.0	407.5	367.0	407.0
sub-116210	142.0	95.0	7.0	47.0	1.0	410.0	389.0	398.0
sub-116354	148.0	96.0	2.0	52.0	0.0	496.0	403.0	492.5
sub-116360	141.0	96.0	9.0	45.0	0.0	440.5	415.0	440.0
sub-117226	143.0	89.0	0.0	54.0	7.0	491.0	n/a	491.0
sub-117397	149.0	95.0	0.0	54.0	1.0	523.0	n/a	523.0
sub-118393	147.0	96.0	3.0	51.0	0.0	408.5	409.0	409.0
sub-118864	150	96	0	54	0	398	n/a	398
sub-118990	150.0	96.0	0.0	54.0	0.0	417.0	n/a	417.0
sub-119302	148.0	96.0	2.0	52.0	0.0	422.5	346.0	421.0
sub-119791	138.0	93.0	9.0	45.0	3.0	502.0	465.0	493.0
sub-120217	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-120562	143.0	96.0	7.0	47.0	0.0	445.5	435.0	445.0
sub-121001	147.0	96.0	3.0	51.0	0.0	506.5	537.0	517.0
sub-121050	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-121085	147.0	96.0	3.0	51.0	0.0	405.5	412.0	406.0
sub-121407	149.0	96.0	1.0	53.0	0.0	448.5	382.0	448.0
sub-121476	135.0	96.0	15.0	39.0	0.0	438.0	471.0	438.0
sub-121670	143	96	7	47	0	428.5	366	423
sub-122522	146.0	96.0	4.0	50.0	0.0	429.0	422.0	428.5
sub-122528	148.0	96.0	2.0	52.0	0.0	433.0	377.0	432.0
sub-122801	150.0	96.0	0.0	54.0	0.0	548.5	n/a	548.5
sub-122916	148.0	96.0	2.0	52.0	0.0	458.0	480.0	458.0
sub-125511	147.0	96.0	3.0	51.0	0.0	427.0	389.0	425.0
sub-125535	149.0	96.0	1.0	53.0	0.0	455.5	383.0	454.0
sub-125554	150.0	96.0	0.0	54.0	0.0	429.5	n/a	429.5
sub-126176	147.0	96.0	3.0	51.0	0.0	458.0	407.0	455.0
sub-126389	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-126554	149.0	96.0	1.0	53.0	0.0	434.0	429.0	434.0
sub-126903	145.0	96.0	5.0	49.0	0.0	431.5	366.0	428.0
sub-126921	124.0	83.0	13.0	41.0	13.0	456.0	371.0	438.0
sub-127008	141.0	96.0	9.0	45.0	0.0	444.0	383.0	434.0
sub-127236	141.0	96.0	9.0	45.0	0.0	434.5	402.0	431.0
sub-127305	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-127417	149.0	96.0	1.0	53.0	0.0	399.5	311.0	399.0
sub-127542	144.0	94.0	4.0	50.0	2.0	534.0	421.0	533.0
sub-127611	133.0	92.0	13.0	41.0	4.0	465.5	376.0	458.0
sub-128061	119	94	29	25	2	400.5	381	397
sub-128154	140.0	95.0	9.0	45.0	1.0	409.0	320.0	405.0
sub-129354	148.0	95.0	1.0	53.0	1.0	480.0	456.0	480.0
sub-129405	134	94	14	40	2	392	386.5	391.5
sub-129552	132.0	92.0	14.0	40.0	4.0	434.0	389.5	430.5
sub-129720	146.0	95.0	3.0	51.0	1.0	463.0	395.0	460.5
sub-129886	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-129926	142.0	92.0	4.0	50.0	4.0	437.5	453.0	438.0
sub-130121	130.0	88.0	12.0	42.0	8.0	415.5	375.5	413.0
sub-130211	148.0	96.0	2.0	52.0	0.0	451.5	513.0	451.5
sub-130687	139.0	93.0	8.0	46.0	3.0	503.0	422.0	486.0
sub-130759	146	96	4	50	0	437.5	467	437.5
sub-130896	136.0	86.0	4.0	50.0	10.0	426.0	452.5	426.0
sub-131224	145.0	96.0	5.0	49.0	0.0	435.5	354.0	431.0
sub-131867	126.0	86.0	14.0	40.0	10.0	447.5	368.5	428.5
