raw_column	status	task	nda_element	nda_description	grmpy_description
adt36_a_adt36a_cr	released	adt	cnb_adt_cr	ADT Total Correct Responses	ADT36A Total Correct Responses
adt36_a_adt36a_er	released	adt	cnb_adt_er	ADT Total Incorrect Responses	ADT36A Total Incorrect Responses
adt36_a_adt36a_female_cr	released	adt	cnb_adt_female_cr	ADT Correct Female Trial Responses	ADT36A Correct Responses for  Female Trials
adt36_a_adt36a_female_rtcr	released	adt	cnb_adt_female_rtcr	ADT Median Response Time for Correct Female Trial Responses (ms)	ADT36A Response Time for Correct  Female Trials (ms)
adt36_a_adt36a_male_cr	released	adt	cnb_adt_male_cr	ADT Correct Male Trial Responses	ADT36A Correct Responses for  Male Trials
adt36_a_adt36a_male_rtcr	released	adt	cnb_adt_male_rtcr	ADT Median Response Time for Correct Male Trial Responses (ms)	ADT36A Response Time for Correct  Male Trials (ms)
adt36_a_adt36a_rtcr	released	adt	cnb_adt_rtcr	ADT Median Response Time for Correct Responses (ms)	ADT36A Response Time for Correct Responses (ms)
adt36_a_adt36a_rter	released	adt	cnb_adt_rter	ADT Median Response Time for Incorrect Responses (ms)	ADT36A Response Time for Incorrect Responses (ms)
adt36_b_adt36b_cr	released	adt	cnb_adt_cr	ADT Total Correct Responses	
adt36_b_adt36b_er	released	adt	cnb_adt_er	ADT Total Incorrect Responses	
adt36_b_adt36b_female_cr	released	adt	cnb_adt_female_cr	ADT Correct Female Trial Responses	
adt36_b_adt36b_female_rtcr	released	adt	cnb_adt_female_rtcr	ADT Median Response Time for Correct Female Trial Responses (ms)	
adt36_b_adt36b_male_cr	released	adt	cnb_adt_male_cr	ADT Correct Male Trial Responses	
adt36_b_adt36b_male_rtcr	released	adt	cnb_adt_male_rtcr	ADT Median Response Time for Correct Male Trial Responses (ms)	
adt36_b_adt36b_rtcr	released	adt	cnb_adt_rtcr	ADT Median Response Time for Correct Responses (ms)	
adt36_b_adt36b_rter	released	adt	cnb_adt_rter	ADT Median Response Time for Incorrect Responses (ms)	
cpf_a_cpf_cr	released	cpf	cnb_cpf_cr	CPF Total Correct Responses	
cpf_a_cpf_er	released	cpf	cnb_cpf_er	CPF Total Incorrect Responses	
cpf_a_cpf_fn	released	cpf	cnb_cpf_fn	CPF False Negative Responses	
cpf_a_cpf_fnrt	released	cpf	cnb_cpf_fnrt	CPF Median Response Time for False Negative Responses (ms)	
cpf_a_cpf_fp	released	cpf	cnb_cpf_fp	CPF False Positive Responses	
cpf_a_cpf_fprt	released	cpf	cnb_cpf_fprt	CPF Median Response Time for False Positive Responses (ms)	
cpf_a_cpf_rt	released	cpf	cnb_cpf_rt	CPF Median Response Time for All Responses (ms)	
cpf_a_cpf_rtcr	released	cpf	cnb_cpf_rtcr	CPF Median Response Time for Correct Responses (ms)	
cpf_a_cpf_rter	released	cpf	cnb_cpf_rter	CPF Median Response Time for Incorrect Responses (ms)	
cpf_a_cpf_tn	released	cpf	cnb_cpf_tn	CPF True Negative Responses	
cpf_a_cpf_tnrt	released	cpf	cnb_cpf_tnrt	CPF Median Response Time for True Negative Responses (ms)	
cpf_a_cpf_tp	released	cpf	cnb_cpf_tp	CPF True Positive Responses	
cpf_a_cpf_tprt	released	cpf	cnb_cpf_tprt	CPF Median Response Time for True Positive Responses (ms)	
cpf_a_cpf_w_rtcr	released	cpf	cnb_cpf_w_rtcr	CPF Weighted Median Response Time for Correct Responses (ms)	
cpf_a_cpf_w_rter	released	cpf	cnb_cpf_w_rter	CPF Weighted Median Response Time for Incorrect Responses (ms)	
cpf_b_cpf_cr	released	cpf	cnb_cpf_cr	CPF Total Correct Responses	CPF_B Total Correct Responses
cpf_b_cpf_er	released	cpf	cnb_cpf_er	CPF Total Incorrect Responses	CPF_B Total Incorrect Responses
cpf_b_cpf_fn	released	cpf	cnb_cpf_fn	CPF False Negative Responses	CPF_B False Negatives
cpf_b_cpf_fnrt	released	cpf	cnb_cpf_fnrt	CPF Median Response Time for False Negative Responses (ms)	CPF_B False Negatives Median Response Time (ms)
cpf_b_cpf_fp	released	cpf	cnb_cpf_fp	CPF False Positive Responses	CPF_B False Positives
cpf_b_cpf_fprt	released	cpf	cnb_cpf_fprt	CPF Median Response Time for False Positive Responses (ms)	CPF_B False Positives Median Response Time (ms)
