participant_id	cnb_pvrt_cr	cnb_pvrt_pc	cnb_pvrt_rtto	cnb_pvrt_rtcr	cnb_pvrt_rter
sub-102041	15.0	100.0	4598.0	4598.0	n/a
sub-103679	15.0	100.0	4480.0	4480.0	n/a
sub-104059	12.0	80.0	4816.0	4647.5	8239.0
sub-104235	9.0	60.0	7046.0	7046.0	7179.0
sub-104785	14.0	93.3333	3399.0	3227.5	9287.0
sub-105168	13.0	86.6667	4695.0	4440.0	6464.0
sub-105176	n/a	n/a	n/a	n/a	n/a
sub-105309	13.0	86.6667	4408.0	4840.0	3316.0
sub-105767	9.0	60.0	4913.0	4816.0	6043.5
sub-105860	10.0	66.6667	4567.0	4175.0	4816.0
sub-105979	14.0	93.3333	3728.0	3740.0	2647.0
sub-106039	9.0	60.0	4455.0	4455.0	4632.0
sub-106071	15.0	100.0	3390.0	3390.0	n/a
sub-106246	15.0	100.0	4119.0	4119.0	n/a
sub-106331	12.0	80.0	7056.0	6567.5	9392.0
sub-106802	14.0	93.3333	6335.0	6275.5	10624.0
sub-106880	11.0	73.3333	4615.0	3888.0	6764.0
sub-107055	12.0	80.0	4263.0	4039.5	9127.0
sub-108202	14.0	93.3333	5959.0	5799.5	15727.0
sub-109521	10.0	66.6667	7583.0	7559.5	11152.0
sub-109646	15.0	100.0	3432.0	3432.0	n/a
sub-109735	14.0	93.3333	4831.0	4755.5	5639.0
sub-110168	14.0	93.3333	3983.0	3955.5	11672.0
sub-110354	6.0	40.0	8736.0	6532.0	9064.0
sub-110828	11	73.3333	6248	4976	6751.5
sub-112028	13.0	86.6667	4984.0	4856.0	5524.5
sub-112061	14.0	93.3333	6512.0	6204.0	10415.0
sub-112126	15.0	100.0	5030.0	5030.0	n/a
sub-112249	14.0	93.3333	4168.0	4044.0	5640.0
sub-112332	13.0	86.6667	4026.0	4026.0	8128.5
sub-112694	12.0	80.0	10040.0	9660.0	13303.0
sub-113111	14.0	93.3333	3639.0	3555.5	5591.0
sub-114709	9.0	60.0	6200.0	5990.0	7504.0
sub-114713	15.0	100.0	3384.0	3384.0	n/a
sub-114723	13.0	86.6667	10663.0	10511.0	12551.5
sub-114935	14.0	93.3333	3935.0	3907.5	7519.0
sub-114990	14.0	93.3333	5656.0	5452.0	14943.0
sub-115800	15.0	100.0	4680.0	4680.0	n/a
sub-116019	11.0	73.3333	4744.0	4744.0	4683.5
sub-116051	12.0	80.0	6365.0	4597.5	8314.0
sub-116210	14.0	93.3333	4320.0	4368.0	3624.0
sub-116354	13.0	86.6667	8967.0	6832.0	16991.0
sub-116360	13.0	86.6667	6343.0	5959.0	8350.0
sub-117226	14.0	93.3333	3831.0	3707.5	10104.0
sub-117397	11.0	73.3333	7440.0	6928.0	18091.0
sub-118393	14.0	93.3333	4119.0	3928.0	7584.0
sub-118864	14	93.3333	3304	3232	6640
sub-118990	14.0	93.3333	3696.0	3640.0	17119.0
sub-119302	13.0	86.6667	4576.0	4576.0	4982.5
sub-119791	11.0	73.3333	6857.0	6857.0	6144.5
sub-120217	15.0	100.0	4064.0	4064.0	n/a
sub-120562	12.0	80.0	5920.0	5848.0	5920.0
sub-121001	13.0	86.6667	4616.0	4040.0	9892.0
sub-121050	14.0	93.3333	5543.0	5499.0	11200.0
sub-121085	11.0	73.3333	4704.0	4534.0	7803.5
sub-121407	14.0	93.3333	6008.0	5768.0	9583.0
sub-121476	11.0	73.3333	4032.0	4032.0	4227.5
sub-121670	14	93.3333	3735	3707	4408
sub-122522	10.0	66.6667	4152.0	3408.0	8463.0
sub-122528	14.0	93.3333	5497.0	5472.5	7568.0
sub-122801	14.0	93.3333	3832.0	3783.5	8671.0
sub-122916	15.0	100.0	3751.0	3751.0	n/a
sub-125511	15.0	100.0	4047.0	4047.0	n/a
sub-125535	14.0	93.3333	4479.0	4391.0	7431.0
sub-125554	14.0	93.3333	4072.0	3984.0	8088.0
sub-126176	12.0	80.0	6616.0	6719.5	5976.0
sub-126389	14.0	93.3333	4223.0	4163.5	6455.0
sub-126554	15.0	100.0	6720.0	6720.0	n/a
sub-126903	14.0	93.3333	4936.0	4850.5	6504.0
sub-126921	10.0	66.6667	6488.0	7484.0	5943.0
sub-127008	14.0	93.3333	5008.0	4948.0	8071.0
sub-127236	12.0	80.0	7679.0	6155.5	11487.0
sub-127305	n/a	n/a	n/a	n/a	n/a
sub-127417	14.0	93.3333	4504.0	4216.0	9471.0
sub-127542	8.0	53.3333	4824.0	5319.5	4616.0
sub-127611	10.0	66.6667	7192.0	6908.0	7264.0
sub-128061	11	73.3333	5807	5807	5267.5
sub-128154	8.0	53.3333	6174.0	5811.0	6583.0
sub-129354	6.0	40.0	3145.0	3014.5	3719.0
sub-129405	13	86.6667	6711	6166	7055
sub-129552	11.0	73.3333	5872.0	5872.0	7484.5
sub-129720	13.0	86.6667	4944.0	4688.0	13851.5
sub-129886	15.0	100.0	6398.0	6398.0	n/a
sub-129926	14.0	93.3333	4342.0	4063.0	4510.0
sub-130121	11.0	73.3333	5992.0	5495.0	9954.5
