participant_id	cnb_plot_cr	cnb_plot_pc	cnb_plot_rtcr	cnb_plot_er	cnb_plot_rter	cnb_plot_rt
sub-102041	14.0	93.3333	9999.0	1.0	9895.0	9943.0
sub-103679	8.0	53.3333	7278.5	7.0	6711.0	6935.0
sub-104059	6.0	40.0	7799.0	9.0	6359.0	6823.0
sub-104235	5.0	33.3333	11047.0	10.0	10511.0	10823.0
sub-104785	10.0	66.6667	6831.0	5.0	9311.0	7287.0
sub-105168	5.0	33.3333	8336.0	10.0	6791.5	6911.0
sub-105176	n/a	n/a	n/a	n/a	n/a	n/a
sub-105309	10.0	66.6667	11419.0	5.0	19199.0	11479.0
sub-105767	2.0	13.3333	7075.0	13.0	5583.0	5824.0
sub-105860	10.0	66.6667	11499.5	5.0	10975.0	10975.0
sub-105979	6.0	40.0	8900.0	9.0	8544.0	8872.0
sub-106039	10.0	66.6667	9183.0	5.0	8263.0	9103.0
sub-106071	7.0	46.6667	6110.0	8.0	5950.0	6110.0
sub-106246	12.0	80.0	11575.5	3.0	13879.0	12071.0
sub-106331	5.0	33.3333	13121.0	10.0	12208.0	12905.0
sub-106802	12.0	80.0	8494.5	3.0	6023.0	8271.0
sub-106880	9.0	60.0	6767.0	6.0	6455.0	6647.0
sub-107055	13.0	86.6667	6216.0	2.0	7867.0	7423.0
sub-108202	10.0	66.6667	14715.0	5.0	15375.0	14767.0
sub-109521	11.0	73.3333	16263.0	4.0	14091.0	15399.0
sub-109646	14.0	93.3333	10456.5	1.0	9415.0	10426.0
sub-109735	11.0	73.3333	9407.0	4.0	9986.5	9750.0
sub-110168	9.0	60.0	5487.0	6.0	6420.0	5511.0
sub-110354	3.0	20.0	23654.0	12.0	14938.5	14975.0
sub-110828	8	53.3333	9031	7	9727	9127
sub-112028	11.0	73.3333	7815.0	4.0	7147.5	7704.0
sub-112061	10.0	66.6667	6487.5	5.0	6615.0	6615.0
sub-112126	10.0	66.6667	7500.0	5.0	7583.0	7536.0
sub-112249	11.0	73.3333	6000.0	4.0	6647.5	6232.0
sub-112332	8.0	53.3333	8464.0	7.0	6563.0	7932.0
sub-112694	10.0	66.6667	10571.0	5.0	14951.0	11007.0
sub-113111	6.0	40.0	7259.0	9.0	7935.0	7559.0
sub-114709	3.0	20.0	7503.0	12.0	8095.5	7847.0
sub-114713	12.0	80.0	6384.0	3.0	6392.0	6392.0
sub-114723	7.0	46.6667	15816.0	8.0	13452.0	14368.0
sub-114935	8.0	53.3333	6387.5	7.0	6831.0	6671.0
sub-114990	10.0	66.6667	7963.0	5.0	7944.0	7944.0
sub-115800	8.0	53.3333	11816.0	7.0	15015.0	13167.0
sub-116019	12.0	80.0	10241.5	3.0	8967.0	10161.0
sub-116051	11.0	73.3333	8284.0	4.0	9190.0	8341.0
sub-116210	10.0	66.6667	6762.5	5.0	9319.0	7591.0
sub-116354	11.0	73.3333	16527.0	4.0	9999.5	16247.0
sub-116360	7.0	46.6667	8663.0	8.0	9891.0	9855.0
sub-117226	5.0	33.3333	8503.0	10.0	8535.5	8503.0
sub-117397	8.0	53.3333	13879.0	7.0	13999.0	13999.0
sub-118393	12.0	80.0	6212.0	3.0	7168.0	6264.0
sub-118864	7	46.6667	6143	8	6418	6143
sub-118990	12.0	80.0	7151.0	3.0	7784.0	7615.0
sub-119302	11.0	73.3333	5303.0	4.0	6016.0	5720.0
sub-119791	5.0	33.3333	6655.0	10.0	9179.5	7592.0
sub-120217	13.0	86.6667	6624.0	2.0	7611.5	6624.0
sub-120562	12.0	80.0	8555.0	3.0	13248.0	8719.0
sub-121001	11.0	73.3333	8213.0	4.0	10272.0	8343.0
sub-121050	8.0	53.3333	7219.5	7.0	9143.0	7703.0
sub-121085	11.0	73.3333	5872.0	4.0	7927.0	6600.0
sub-121407	12.0	80.0	9959.0	3.0	12279.0	10087.0
sub-121476	5.0	33.3333	6136.0	10.0	4080.0	5063.0
sub-121670	7	46.6667	8791	8	11059	10400
sub-122522	7.0	46.6667	8614.0	8.0	7688.5	7921.0
sub-122528	10.0	66.6667	10475.0	5.0	9231.0	10455.0
sub-122801	8.0	53.3333	8847.5	7.0	9055.0	9055.0
sub-122916	12.0	80.0	7140.0	3.0	9135.0	8048.0
sub-125511	10.0	66.6667	5279.0	5.0	6624.0	5631.0
sub-125535	10.0	66.6667	7851.5	5.0	7437.0	7767.0
sub-125554	9.0	60.0	7887.0	6.0	7188.0	7679.0
sub-126176	12.0	80.0	10039.0	3.0	10367.0	10295.0
sub-126389	13.0	86.6667	8616.0	2.0	10627.5	8782.0
sub-126554	12.0	80.0	7336.5	3.0	9495.0	7503.0
sub-126903	10.0	66.6667	6476.0	5.0	7863.0	6608.0
sub-126921	13.0	86.6667	8536.0	2.0	14276.0	8536.0
sub-127008	11.0	73.3333	9111.0	4.0	6372.0	9087.0
sub-127236	9.0	60.0	11055.0	6.0	12287.0	11215.0
sub-127305	n/a	n/a	n/a	n/a	n/a	n/a
sub-127417	8.0	53.3333	9142.5	7.0	8175.0	8559.0
sub-127542	4.0	26.6667	10599.0	11.0	9589.0	9727.0
sub-127611	14.0	93.3333	9360.0	1.0	6935.0	9328.0
sub-128061	2	13.3333	5187	13	11311	9103
sub-128154	9.0	60.0	5505.0	6.0	5554.5	5505.0
sub-129354	5.0	33.3333	6223.0	10.0	5483.0	5559.0
sub-129405	9	60	6743	6	6595	6743
sub-129552	8.0	53.3333	7327.0	7.0	7399.0	7399.0
sub-129720	12.0	80.0	8715.0	3.0	12695.0	9632.0
sub-129886	12.0	80.0	12699.5	3.0	14255.0	12704.0
sub-129926	4.0	26.6667	9933.0	11.0	7150.0	7806.0
sub-130121	8.0	53.3333	10143.0	7.0	9471.0	10135.0
sub-130211	14.0	93.3333	8390.5	1.0	9015.0	8822.0
sub-130687	12.0	80.0	11078.0	3.0	10122.0	10194.0
sub-130759	9	60	7686	6	6656	7008
sub-130896	5.0	33.3333	4944.0	10.0	5252.0	5200.0
sub-131224	12.0	80.0	6991.5	3.0	7887.0	7135.0
sub-131867	11.0	73.3333	6938.0	4.0	6291.5	6431.0
sub-132179	4.0	26.6667	7755.0	11.0	9087.0	8943.0
sub-132224	13.0	86.6667	7479.0	2.0	9879.5	7591.0
sub-132657	9.0	60.0	14143.0	6.0	14199.0	14143.0
sub-133220	11.0	73.3333	11463.0	4.0	10999.5	11463.0
sub-139272	6.0	40.0	7999.0	9.0	8159.0	8159.0
sub-19977	8.0	53.3333	8423.5	7.0	8699.0	8548.0
sub-19981	12.0	80.0	11901.5	3.0	7531.0	11805.0
sub-20011	3.0	20.0	5831.0	12.0	7715.5	7592.0
sub-20017	n/a	n/a	n/a	n/a	n/a	n/a
sub-20120	12.0	80.0	22811.0	3.0	22695.0	22695.0
sub-20151	13.0	86.6667	10415.0	2.0	12411.5	10416.0
sub-20153	n/a	n/a	n/a	n/a	n/a	n/a
sub-20189	10.0	66.6667	7294.5	5.0	8703.0	7511.0
sub-20197	13.0	86.6667	10144.0	2.0	9072.0	10144.0
sub-20247	11.0	73.3333	7952.0	4.0	8255.0	7952.0
sub-20313	12.0	80.0	10615.0	3.0	11951.0	11800.0
