participant_id	cnb_pmat_cr	cnb_pmat_si	cnb_pmat_rtcr	cnb_pmat_rter	cnb_pmat_rtto
sub-102041	9.0	10.0	3839.0	11864.0	5539.5
sub-103679	15.0	4.0	3983.0	22295.0	9499.5
sub-104059	10.0	9.0	3092.0	10192.0	3296.0
sub-104235	9.0	10.0	5845.0	11737.0	7313.0
sub-104785	20.0	0.0	8375.5	6715.0	7903.5
sub-105168	17.0	2.0	11687.0	19174.0	14367.0
sub-105176	n/a	n/a	n/a	n/a	n/a
sub-105309	15.0	4.0	6615.0	15983.0	8139.5
sub-105767	8.0	11.0	4303.5	5815.0	5215.0
sub-105860	14.0	5.0	5368.0	28783.0	8671.0
sub-105979	10.0	9.0	3295.5	13632.0	7072.0
sub-106039	14.0	5.0	8488.0	13103.0	10408.0
sub-106071	13.0	6.0	5695.0	12605.0	7266.0
sub-106246	20.0	0.0	8440.0	23031.0	11623.5
sub-106331	9.0	10.0	2704.0	12486.0	6360.0
sub-106802	14.0	5.0	7447.5	12241.0	11632.0
sub-106880	8.0	11.0	2995.5	6816.0	5967.0
sub-107055	20.0	0.0	11351.5	35462.5	13203.0
sub-108202	17.0	2.0	11552.0	21919.0	15599.0
sub-109521	11.0	8.0	5640.0	23456.0	11568.0
sub-109646	22.0	0.0	10131.0	28946.5	11375.0
sub-109735	14.0	5.0	4639.5	13407.0	9023.0
sub-110168	15.0	4.0	6240.0	6992.0	6616.0
sub-110354	7.0	12.0	6039.0	28846.0	11647.0
sub-110828	9	10	7135	10704	8511.5
sub-112028	9.0	10.0	3096.0	9247.0	4251.5
sub-112061	23.0	0.0	20736.0	118212.0	21511.5
sub-112126	8.0	11.0	3571.5	9872.0	4415.0
sub-112249	14.0	5.0	5183.0	9472.0	8015.0
sub-112332	10.0	9.0	4494.5	22904.0	7900.0
sub-112694	13.0	6.0	7183.0	36207.0	18319.0
sub-113111	14.0	5.0	5679.5	8424.0	7336.0
sub-114709	10.0	9.0	3951.0	8448.0	6352.0
sub-114713	12.0	7.0	4699.5	8808.0	5504.0
sub-114723	9.0	10.0	6345.0	33615.0	20776.5
sub-114935	9.0	10.0	3616.0	8974.0	6955.5
sub-114990	14.0	5.0	14887.0	17352.0	17343.0
sub-115800	8.0	11.0	3840.0	22631.0	4759.0
sub-116019	14.0	5.0	5539.5	12536.0	5745.0
sub-116051	19.0	0.0	13577.0	52614.0	19846.0
sub-116210	20.0	0.0	10207.0	13019.0	10899.5
sub-116354	16.0	3.0	22127.0	46342.0	24015.0
sub-116360	18.0	1.0	10540.0	9135.0	10439.0
sub-117226	12.0	7.0	5999.5	14823.0	9768.0
sub-117397	17.0	2.0	18927.0	37774.0	22127.0
sub-118393	22.0	0.0	13620.0	19715.5	13620.0
sub-118864	9	10	2360	4368	3634.5
sub-118990	21.0	0.0	13743.0	30022.0	14495.0
sub-119302	14.0	5.0	6399.5	10656.0	9911.0
sub-119791	14.0	5.0	6880.5	9831.0	8048.0
