participant_id	wolf_post_1	wolf_post_2	wolf_post_3
sub-102041	3	7	5
sub-103679	4	5	4
sub-104059			
sub-104235	5	7	6
sub-104785	5	7	6
sub-105168	6	6	6
sub-105176	4	7	4
sub-105309			
sub-105767	1	3	4
sub-105860	2	7	1
sub-105979	6	6	6
sub-106039	5	4	6
sub-106071	6	7	7
sub-106246	4	7	6
sub-106331	5	3	3
sub-106802	1	7	4
sub-106880	4	5	7
sub-107055	2	7	7
sub-108202			
sub-109521	7	7	5
sub-109646	4	7	5
sub-109735	5	7	6
sub-110168	6	6	6
sub-110354	7	7	7
sub-110828			
sub-112028	4	6	7
sub-112061	3	6	4
sub-112126	4	6	5
sub-112249	4	5	6
sub-112332	2	6	7
sub-112694	5	5	5
sub-113111	1	6	6
sub-114709			
sub-114713	7	7	5
sub-114723			
sub-114935	5	7	7
sub-114990	6	7	7
sub-115800	3	7	4
sub-116019	7	7	7
sub-116051	4	6	6
sub-116210	3	4	4
sub-116354	3	5	1
sub-116360	4	6	5
sub-117226	4	6	7
sub-117397	4	7	7
sub-118393			
sub-118864			
sub-118990			
sub-119302	4	7	4
sub-119791	5	5	6
sub-120217	3	6	4
sub-120562	4	5	5
sub-121001	5	7	5
sub-121050	6	7	6
sub-121085	7	7	7
sub-121407	7	7	7
sub-121476			
sub-121670			
sub-122522	1	7	7
sub-122528	3	7	6
sub-122801	4		
sub-122916	3	5	4
sub-125511	3	7	4
sub-125535	7	7	7
sub-125554	3	7	7
sub-126176	3	7	7
sub-126389	6	7	5
sub-126554	7	7	7
sub-126903	3	6	4
sub-126921	7	5	6
sub-127008	6	7	7
sub-127236	4	5	5
sub-127305	4	4	6
sub-127417	3	7	7
sub-127542			
sub-127611	3	7	7
sub-128061			
sub-128154	5	7	7
sub-129354			
sub-129405			
sub-129552	1	6	7
sub-129720	5	7	5
sub-129886	5	7	4
sub-129926	1	4	3
sub-130121	7	7	7
sub-130211	4	7	3
sub-130687	7	7	6
sub-130759			
sub-130896	1	3	4
sub-131224	4	7	6
sub-131867	3	7	4
sub-132179	3	5	3
sub-132224	4	6	5
sub-132657	6	7	6
sub-133220	5	5	4
sub-139272	6	7	7
sub-19977	2	4	2
sub-19981	5	5	6
sub-20011	4	6	5
sub-20017	7	7	7
sub-20120			
sub-20151	6	6	5
sub-20153	2	6	4
sub-20189	1	3	6
sub-20197	6	7	5
sub-20247	2	5	4
sub-20313	6	5	5
sub-20320	7	7	6
sub-20322	3	7	5
sub-20325			
sub-20326	7	7	3
sub-20327	2	4	4
sub-20362	1	5	7
sub-20386			
sub-20387	4	5	4
sub-20461	5	7	6
sub-20589	6	6	4
sub-20649	7	7	6
sub-20699	4	7	5
sub-20809	4	7	5
sub-20888	6	7	7
sub-20940	7	6	4
sub-20941	3	6	5
sub-20949	7	7	5
sub-20963	4	7	5
sub-20974	5	7	7
sub-20981	4	7	6
sub-21016	6	7	7
sub-21056	1	7	4
sub-21059			
sub-21085	5	7	6
sub-80557	3	5	6
sub-80688	4	6	5
sub-81725	4	5	7
sub-81760	1	3	4
sub-82051	3	4	7
sub-82063	3	5	4
sub-82492	7	6	6
sub-82790	5	6	6
sub-83010	4	4	5
sub-83372	5	7	2
sub-83454	7	7	6
sub-83835	4	7	7
sub-83999	5	6	5
sub-84103	5	6	4
sub-84354			
sub-84688	6	6	5
sub-84761	3	4	1
sub-84973	1	4	5
sub-85083	3	7	7
sub-85173	6	7	6
sub-85369	5	6	6
sub-85743	5	7	5
sub-85853	5	6	6
sub-86287	5	7	6
sub-86350	4	7	5
sub-86444	7	7	7
sub-86486	2	6	3
sub-86722	6	5	4
sub-86924	6	7	6
sub-86972	7	7	7
sub-87135	4	6	5
sub-87346	7	7	5
sub-87445	7	7	7
sub-87457	4	5	5
sub-87538	5	7	7
sub-87563	6	7	5
sub-87601	5	6	6
sub-87646	6	7	7
sub-87804	2	6	4
sub-87990	3	5	4
sub-88209	1	6	4
sub-88402	6	7	6
sub-88589	4	7	7
sub-88608	3	6	4
sub-88760	3	7	5
sub-88770	3	7	4
sub-88773			
sub-89279	3	5	5
sub-89377	2	6	4
sub-90021	5	7	5
sub-90060			
sub-90077	3	7	4
sub-90262	5	7	6
sub-90281	5	6	4
sub-90683			
sub-91717	5	7	7
sub-91919			
sub-91962	4	6	6
sub-92089	5	6	4
sub-92182	7	7	7
sub-92193	5	7	7
sub-92211	4	6	7
sub-92554	6	7	7
sub-92927	4	7	5
sub-93051	3	5	4
sub-93169	2	6	5
sub-93274	7	7	7
sub-93278	7	7	7
sub-93292			
sub-93406			
sub-93517	7	6	7
sub-93549	5	6	4
sub-93723	4	7	7
sub-93734	7	7	5
sub-93787	2	5	3
sub-93856	5	6	4
sub-94276	4	7	5
sub-94492	6	7	5
sub-94848			
sub-95015			
sub-95057	4	7	4
sub-95116	5	7	3
sub-95257	7	7	7
sub-95460	7	7	7
sub-96659	5	7	5
sub-97092	5	7	6
sub-97271	5	7	5
sub-97485	4	6	6
sub-97994	3	7	3
sub-98314			
sub-98394	7	7	7
sub-98422	5	7	6
sub-98535	7	7	7
sub-98567	4	5	5
sub-98831	1	3	4
sub-98871	3	6	3
sub-99352			
sub-99604	2	7	4
sub-99949	5	7	6
sub-99964	7	6	7
