participant_id	grit_1	grit_2	grit_3	grit_4	grit_5	grit_6	grit_7	grit_8	grit_9	grit_10	grit_11	grit_12	grit_13	grit_14	grit_15___0	grit_15___1	grit_15___2	grit_15___3	grit_complete
sub-102041	4	3	4	4	4	4	3	4	4	4	4	4	4.0	12.0	1	0	0	0	2
sub-103679	5	4	5	3	4	4	4	4	5	4	4	5	2.0	11.0	1	1	1	1	2
sub-104059	5	5	5	3	4	4	3	4	5	4	3	5	2.0	8.0	1	1	1	1	2
sub-104235	3	3	3	3	3	3	3	2	4	3	4	4	6.0	10.0	1	1	1	0	2
sub-104785	5	3	4	4	4	4	4	4	4	3	3	5	5.0	10.0	1	1	1	1	2
sub-105168	5	5	5	3	5	4	3	5	4	5	4	5	2.0	12.0	1	1	1	1	2
sub-105176	5	3	3	2	3	3	3	3	4	5	3	5	5.0	7.0	0	1	0	0	2
sub-105309	5	2	3	3	4	4	4	2	5	3	5	5	6.0	3.0	1	0	0	0	2
sub-105767	5	1	1	3	4	3	2	1	3	1	3	4	5.0	1.0	1	0	0	0	2
sub-105860	3	2	3	4	4	2	4	4	3	4	3	4	6.0	4.0	1	1	1	1	2
sub-105979	4	3	2	3	4	3	4	4	2	4	3	4	5.0	9.0	1	1	0	1	2
sub-106039	4	5	1	1	5	5	2	1	3	4	4	4	8.0	10.0	1	1	0	0	2
sub-106071	3	4	4	4	5	4	4	3	4	5	3	3	2.0	8.0	1	1	0	0	2
sub-106246	5	3	4	1	3	5	1	1	5	3	5	5	3.0	11.0	1	1	0	1	2
sub-106331	3	3	5	3	4	4	3	3	3	5	3	4	3.0	17.0	1	1	1	1	2
sub-106802	3	3	5	3	3	3	3	3	5	3	5	5	16.0	8.0	1	1	1	1	2
sub-106880	3	5	2	3	5	5	3	3	3	4	3	5	4.0	8.0	1	1	1	1	2
sub-107055	5	5	1	2	5	5	1	2	5	4	5	4	2.0	11.0	1	1	1	0	2
sub-108202	4	5	1	4	5	5	3	4	2	5	3	4	8.0	4.0	1	1	1	1	2
sub-109521	3	2	4	2	5	4	3	3	3	4	4	5	12.0	8.0	1	1	1	1	2
sub-109646	5	2	3	3	3	5	3	3	2	2	3	5	4.0	12.0	1	1	1	1	2
sub-109735	5	2	5	3	4	3	3	2	5	3	3	5	3.0	10.0	0	1	0	1	2
sub-110168	4	4	2	3	4	4	4	4	4	5	4	5	5.0	12.0	1	1	0	1	2
sub-110354	4	3	4	2	3	4	3	4	3	3	2	3	5.0	7.0	1	1	0	1	2
sub-110828	5	4	3	1	5	5	3	2	5	5	4	5	5.0	4.0	1	1	0	1	2
sub-112028	5	2	5	3	5	5	1	4	4	3	4	5	3.0	12.0	1	1	1	1	2
sub-112061	5	3	4	2	2	3	2	1	3	2	3	5	3.0	3.0	1	1	1	1	2
sub-112126	5	3	4	3	5	4	3	2	5	4	5	5	3.0	8.0	1	1	1	1	2
sub-112249	3	2	4	3	3	3	3	3	5	4	3	5	3.0	8.0	1	1	0	1	2
sub-112332	5	3	3	3	5	3	4	4	2	4	4	5	2.0	12.0	1	1	1	0	2
sub-112694	4	2	1	4	3	4	4	3	5	2	4	5	3.0	2.0	1	0	0	0	2
sub-113111	4	1	3	5	3	2	3	5	2	3	1	4	3.0	8.0	1	1	1	1	2
sub-114709	4	2	1	2	5	5	4	4	5	5	5	5	4.0	8.0	1	1	0	1	2
sub-114713	4	5	4	4	5	3	5	5	3	5	4	3	2.0	12.0	0	1	1	0	2
sub-114723	5	5	1	1	5	5	1	1	5	5	5	5	10.0	16.0	1	1	1	1	2
sub-114935	3	3	4	4	5	4	5	4	3	5	5	5	3.0	4.0	1	1	1	1	2
sub-114990	5	3	3	3	2	5	2	1	5	3	5	5	4.0	6.0	1	1	1	1	2
sub-115800	4	3	5	3	3	3	3	4	4	3	3	5	5.0	10.0	1	1	0	1	2
sub-116019	5	5	1	5	4	3	4	5	5	5	3	5	5.0	12.0	1	1	1	1	2
sub-116051	4	4	1	3	4	3	4	3	2	5	2	3	4.0	6.0	1	0	0	1	2
sub-116210	3	4	3	3	2	3	3	3	3	3	2	3	6.0	4.0	0	1	0	0	2
sub-116354	4	4	4	4	4	5	4	4	3	3	2	5	6.0	10.0	1	1	0	1	2
sub-116360	3	2	3	4	3	3	3	4	4	4	4	4	5.0	9.0	1	1	1	1	2
sub-117226	4	4	3	3	3	4	3	3	2	3	3	5	8.0	8.0	1	1	1	1	2
sub-117397	3	3	4	4	3	3	3	4	2	3	3	4	2.0	6.0	1	1	1	1	2
sub-118393	5	4	2	4	5	4	4	4	3	4	4	4	2.0	4.0	1	1	1	0	2
sub-118864	5	3	5	3	4	5	3	2	5	3	5	5	3.0	1.0	1	1	1	1	2
sub-118990	5	3	2	3	5	5	3	3	4	3	3	5	6.0	8.0	1	1	1	1	2
sub-119302	5	2	3	2	4	5	2	1	2	4	3	5	6.0	8.0	1	1	0	1	2
sub-119791	3	3	3	2	5	5	4	3	5	5	4	5	3.0	5.0	1	1	1	1	2
sub-120217	5	3	4	2	3	5	3	1	4	3	4	5	2.0	10.0	1	1	0	1	2
sub-120562	5	2	4	1	4	3	1	1	5	4	5	4	3.0	10.0	0	1	1	1	2
sub-121001	3	2	4	5	5	3	4	4	2	3	2	5	3.0	8.0	1	1	0	1	2
sub-121050	4	3	3	2	2	3	2	2	3	4	3	3	3.0	0.5	1	0	0	1	2
sub-121085	5	4	4	4	5	5	4	4	5	5	5	5	3.0	11.0	1	1	1	1	2
sub-121407	4	3	4	3	4	3	2	4	2	4	4	5	3.0	12.0	1	1	0	1	2
sub-121476	3	1	2	3	4	3	3	2	4	3	4	4	6.0	5.0	1	1	1	1	2
sub-121670	5	4	1	4	5	5	3	1	5	4	5	5	4.0	3.0	0	0	0	1	2
sub-122522	4	4	4	3	5	4	4	5	4	5	4	3	4.0	7.0	1	1	1	1	2
sub-122528	5	3	4	2	5	4	2	2	2	4	3	5	5.0	16.0	1	1	1	1	2
sub-122801	5	3	5	3	3	4	3	3	4	3	4	5	3.0	9.0	1	1	1	1	2
sub-122916	5	4	5	3	3	4	3	3	4	4	4	5	4.0	9.0	1	1	0	1	2
sub-125511	5	1	5	3	3	5	2	1	5	1	5	5	4.0	10.0	1	0	0	1	2
sub-125535	5	3	2	5	5	5	5	5	1	4	2	4	5.0	8.0	1	1	0	1	2
sub-125554	5	4	5	3	5	3	3	4	5	3	5	5	4.0	6.0	1	1	0	1	2
sub-126176	4	2	5	2	5	4	3	3	1	2	4	5	2.0	14.0	1	0	0	1	2
sub-126389	4	3	3	4	4	3	5	4	4	4	3	4	4.0	12.0	1	1	1	1	2
sub-126554	5	5	4	3	4	3	4	3	4	3	4	5	2.5	1.5	1	1	1	1	2
sub-126903	3	4	4	5	2	2	3	5	4	5	5	5	6.0	9.0	1	1	0	1	2
sub-126921	5	5	1	1	5	5	1	1	5	4	5	3	5.0	12.0	1	0	0	0	2
sub-127008	4	3	4	3	4	4	4	4	4	4	5	4	10.0	4.0	1	1	1	1	2
sub-127236	4	3	5	4	3	3	4	3	4	3	4	5	6.0	4.0	1	0	0	1	2
sub-127305	4	5	1	1	5	5	3	4	5	5	5	5	5.0	6.0	1	1	1	1	2
sub-127417	3	3	2	1	2	2	3	3	4	3	4	3	8.0	5.0	1	1	1	1	2
sub-127542	5	1	5	5	5	5	3	5	5	3	5	5	4.0	2.0	1	1	1	1	2
sub-127611	5	3	5	5	3	2	4	2	5	3	3	4	3.0	5.0	1	1	1	1	2
sub-128061	5	5	4	3	3	3	1	3	5	2	4	4	5.0	2.0	1	1	1	1	2
sub-128154	5	3	5	5	5	4	4	5	5	5	5	5	2.0	6.0	1	1	1	1	2
